,TITLE_ID,HOURS_VIEWED,TOTAL_CANCEL,TOTAL_VIEWER
815,GXpiHVgGgz7EswgEAAAZC,11416,326,5777
816,GYUDZ0wEMbLHCwgEAAACW,1,0,1
817,GXQePCAvcOzomqwEAAAAC,50029,1388,27258
818,GXdbR_gOXWJuAuwEAACVH,28601291,45812,1109260
819,GYdXgnwfO_mKZUQEAAAAc,42263,909,15440
820,GYXhKzAbBH7GzIwEAAAJG,2754704,7601,157990
821,GYh1MIA1UEkeawgEAAABg,67132,2810,85755
822,GVU2eMAEI2I7DwvwIAUDI,863612,8960,353556
823,GXSySggmEBE6olAEAAAJs,58500,363,10722
824,GX_3oqQyJtq_CSwEAAAD4,36541,465,7827
825,GYPByzgYje6uLKAEAAAAI,6859,132,2115
826,GXrviQwZWPpGXWQEAAACJ,1491,31,673
827,GXouLWwp8MsPDIgEAAAqT,1682529,7426,188786
828,GXoZAcgZG0o-5nAEAAAYw,16978,346,5745
829,GYR0XEAt6Q4jDwgEAAAbB,41859,857,19526
830,GX23urwuo4MNYwwEAAAPq,38270,643,15153
831,GXp4MnArF7aC7uAEAAAKv,75345,1227,18809
832,GXqc9vAEl2L2_wwEAAApQ,4567,90,1578
833,GXbreXwHoM3epwwEAACAQ,26513,439,8679
834,GXpdn_AvyT7EswgEAAAXG,18853,278,7050
835,GXp4hswSrAKC7uAEAAANN,3476,97,1734
836,GVWeoUgi7csJtGwEXAAA9,1933,34,679
837,GXxX5MAHjw8PDwgEAAApU,23297,300,4849
838,GVU2htgppfYNJjhsJAUK4,254,45,1110
839,GVU2u0ARhWFFvjSoJAVJq,11292,245,5340
840,GXxnHdAHS5cN_vAEAAAKa,10739,95,3132
841,GVU3MVgPWv4NJjhsJAXLH,5717,93,2227
842,GYOTNcwX8XoMqsQEAAAOo,1436,73,939
843,GXbDsrgvYZ5GYoAEAAARv,681,15,427
844,GYJam1wXI1sJKugEAAAAT,5,0,4
845,GYhA0QwXRB2quwwEAAACg,2362958,42456,913667
846,GXbooCQpETaOqkAEAAArQ,62468,2374,35568
847,GXjhaNQRXiMPDwwEAAABQ,206840,2759,40767
848,GYagoyQwsSZfCwgEAAAAD,751082,5412,143280
849,GVU2fLgkp0lFvjSoJAT_x,782851,2226,83415
850,GX3UHzAJKPxmDbAEAAAH-,55085,601,19006
851,GYS_EugxEAJOwcAEAAAAi,587381,3151,46995
852,GVU2hpQWKaoNJjhsJAUKW,22573,301,6644
853,GX9ziDwXE25qkugEAAAAC,4293,117,1633
854,GW3xzhwPp-cPDDgEAAAkt,16933,386,8877
855,GXnUoBQPflYCgwwEAAAWf,150025,2521,37165
856,GX3TEiA2gIxmDbAEAAAGu,834,51,838
857,GWi8ECw2FUo6VPAEAAAFY,2512,120,1905
858,GYVM9OgWjThWLggEAAAB7,391,22,436
859,GYK1xdwACA8IMvAEAAAAJ,1184,103,2374
860,GXuFAsAdPy8PCwgEAAAyj,5576,123,1720
861,GYF0CtwwybqWUwwEAAAAI,645,35,870
862,GXs2lRghMM8NMvwEAAAJR,591,16,401
863,GXqxL8AG86YC9JwEAAAJw,5370,124,2607
864,GX-4dSwCmOw-LwwEAAAAC,1827,34,635
865,GXd1UXgyt8puAuwEAADdZ,1996,34,504
866,GXc3gIg3Xw5uAuwEAAAon,571,25,397
867,GYEabGA1pi19_ZwEAAAAK,74401,805,25769
868,GXI-WvQqTfKuWIwEAAAAC,55409,489,13496
869,GYbcYPATTKcIZsAEAAAIA,1,0,2
870,GYJ1tVghnn8LDwgEAAABw,0,0,1
871,GYQgIkgYIza6hbwEAAACg,1,0,2
872,GYWRzcwxB28PCJQEAAAAx,0,0,1
873,GYQuumAp5yimsoAEAAABd,0,0,1
874,GVU2bpwOunINJjhsJATsb,509858,3978,101473
875,GV9jrIAQpdHGmwwEAAAAE,5152,184,3953
876,GXuf61QBFTpuSkwEAAA1t,91351,2403,37704
877,GXbdACQ6ThpGYoAEAAAxE,2861,76,1864
878,GXqSOLwNbYcLDwgEAAAcD,14754,184,7129
879,GX3ZDNQA_j8LCSgEAAAXR,1050071,10139,215479
880,GYN9BTgjlCquiBgEAAALt,238451,1063,26336
881,GYEEGBAUseGoDLQEAAAAC,87191,849,21052
882,GYa5p8QrYuVcRswEAAAAV,62123,1885,35026
883,GXfGGmgzDUsJ_LwEAAAIz,33926,449,11858
884,GYMjs-wY9X7CIhgEAAAAU,28738,519,15644
885,GX2TTvQGJ6qQ8ggEAAADj,20295,354,7330
886,GYK1xOwBVeJwITQEAAAAF,1717,178,3601
887,GXqcnMgL1mxqYwgEAAAlX,7915,182,4300
888,GYK72KwIO8cLCwgEAAAAl,1410,146,2619
889,GXqHd7gPwP76AGgEAAAAI,3352,125,2152
890,GVU2mJQsqQINJjhsJAUi_,640,20,439
891,GXbdFGgoVoZGYoAEAAA1R,1482,80,1054
892,GX5leFQdo8Sx_wwEAAAcr,2923,108,2210
893,GX_PTtQZwLXLCCwEAAABk,326,9,280
894,GXji44gbd1I7CZgEAAAjR,240490,2369,39725
895,GX8Wn8QooiMLDbAEAAAcs,2386,51,983
896,GXn6Npg7K6RtjhQEAAAiC,9211,116,2292
897,GYKgsmwJyAICTmAEAAAA-,706,33,676
898,GYgYoAw81GI4KtwEAAAGt,2,0,2
899,GYQS5jAlSyBk5wwEAAAAF,5,0,2
900,GYbCHWwbQpcPCwgEAAAJd,2,0,2
901,GYad2nAw7cV9MsAEAAAAE,0,0,1
902,GYcol4AY085KxggEAAAIA,1,0,1
903,GYYv2WQgb5cJirAEAAAAo,425322,11354,244867
904,GXnUIkwqnZoCgwwEAAAUs,102391,786,17673
905,GXl20QAK1sTC3wwEAAB4I,1552270,11001,168899
906,GXbdAyAwaiZGYoAEAAAxM,58999,664,14402
907,GXuFH8wd2WcPCwgEAAAy4,196120,1378,20939
908,GYS_I_wTdDa6NwwEAAAAC,1893161,7916,146575
909,GYhA0kwgmlMPDwgEAAACM,65782,3740,95208
910,GVU2fVwUV4FFvjSoJAUAV,43432,533,17827
911,GXupEYgbzZQq_tgEAAADI,7204,296,6333
912,GYV-McAuLRnpuvQEAAAAb,4910,172,2742
913,GYEqUUgiU7GvCXQEAAAAU,998,45,925
914,GXs2oFwvwscNMvwEAAAJo,1868,40,1030
915,GXcyUiwZdw5uAuwEAAAi0,235,5,186
916,GVWeoCgvsaV-0twgJAAAJ,2834,109,2330
917,GXs2jawN2yMNMvwEAAAIx,1784,52,1234
918,GYBMTBAxniqsjwwEAAAAR,2364,69,1170
919,GYGdpLQyFccMfwwEAAAAu,4124,149,3041
920,GXdc3dgPW28PCwwEAADMk,83089,470,9431
921,GXujuJQlLN6UJwwEAAAXi,28777,672,9716
922,GXborUg1y56OqkAEAAAuP,1041,28,882
923,GX7vVvArXIcPDEAEAAAAL,6234,74,2125
924,GYZ-hewrveZGpqQEAAAAD,4260,248,3914
925,GXTIT_A8jKZ5llQEAAA0-,137,12,103
926,GYZ_OcArFI8PDfQEAAAAD,2,0,1
