,title_series,legacy_series_id,ckg_series_id,imdb_id,program_type,primary_genre,first_release_date,theatrical_date,area_gross,budget,observed_medal,latam_home_medal,day_on_max,cumulative_viewing_subscribers,cumulative_first_views,percent_cumulative_viewing_subscribers,percent_cumulative_first_views,days_from_theatrical,genre_Action,genre_Comedy,genre_Drama,genre_Fantasy & Sci-Fi,genre_Horror,genre_Kids & Family,genre_Music,genre_Not A Genre,medal_Bronze,medal_Gold,medal_Platinum,medal_Silver,medal_number,log_cumulative_first_views,log_cumulative_viewing_subs
74,The Flash,GZIiwDg2tTcPCLwEAABtT,69cf2552-e159-43c7-ad8e-34f7f3393514,tt0439572,Acquired,Action,2023-08-25,2023-06-15,13213132.0,200000000.0,Platinum,Platinum,90.0,4176946.0,75171.0,34.809700,2.652100,71,1,0,0,0,0,0,0,0,0,0,1,0,0,16.197888575688292,21.99401706163125
75,The Forever Purge,GYgbcAQusfLYbrQEAAAeJ,c37466ca-1985-4e4a-949c-e33a6230992f,tt10327252,Acquired,Horror,2022-02-17,2021-07-15,1853918.0,18000000.0,Silver,Silver,90.0,929926.0,8496.0,9.388100,0.293800,217,0,0,0,0,1,0,0,0,0,0,0,1,2,13.052568050804153,19.826756391000846
76,The Grandmother,GYyS7rgtaRwycSAEAAACX,GYyS7rgtaRwycSAEAAACX,tt11807888,Acquired,Horror,2022-10-21,2022-04-29,283924.0,,Silver,Silver,90.0,658642.0,4088.0,5.465100,0.137900,175,0,0,0,0,1,0,0,0,0,0,0,1,2,11.997179480937621,19.329134986460772
78,The Little Things,GYA79hQZbUsI3gQEAAAB0,6b2ab3be-d2c7-4d2b-a29f-3da0fa08a6d9,tt10016180,Acquired,Drama,2021-07-15,2021-01-28,211160.0,30000000.0,Gold,Gold,90.0,1112825.0,40424.0,14.898000,0.950000,168,0,0,1,0,0,0,0,0,0,1,0,0,1,15.302924464617952,20.085795305326027
79,The Many Saints Of Newark,GYS_3hgKL_avCwwEAAAAe,b98b2a87-fe9c-495a-97b9-844616756559,tt8110232,Acquired,Drama,2021-11-04,2021-09-30,5330.0,50000000.0,Bronze,Bronze,90.0,357054.0,3929.0,4.025100,0.132300,35,0,0,1,0,0,0,0,0,1,0,0,0,3,11.939946452458686,18.4457827549679
82,The Nun II,GZNuevgZakcMrwwEAAAMd,8940b40c-9e62-45e1-af18-efcf774e1a21,tt10160976,Acquired,Horror,2023-10-27,2023-09-07,7558018.0,38000000.0,Platinum,Platinum,90.0,3308193.0,69502.0,26.814400,2.206300,50,0,0,0,0,1,0,0,0,0,0,1,0,0,16.0847668731923,21.657611973126176
83,The Pope's Exorcist,GZKSeog8ed7GYsAEAAA8V,f34f05f8-a31c-4108-a837-fe695dbdbe4e,tt13375076,Acquired,Horror,2023-08-03,2023-04-06,2988394.0,18000000.0,Bronze,Bronze,90.0,426882.0,23624.0,3.613400,0.913800,119,0,0,0,0,1,0,0,0,1,0,0,0,3,14.527965641133955,18.70347780530949
84,The Suicide Squad,GYOxtow3Wz8PDwgEAAAdw,186afae3-df20-41bc-86c9-70a39a955c63,tt6334354,Acquired,Action,2021-09-11,2021-08-05,3774860.0,185000000.0,Platinum,Platinum,90.0,2783541.0,0.0,36.501700,0.000000,37,1,0,0,0,0,0,0,0,0,0,1,0,0,-inf,21.40848990277439
88,Those Who Wish Me Dead,GYH8W5wtYpsPDwgEAAAAC,7d6488e9-3723-405b-a36a-d47f19250be0,tt3215824,Acquired,Action,2021-08-12,2021-05-13,344256.0,,Gold,Gold,90.0,872714.0,12445.0,11.466500,0.458200,91,1,0,0,0,0,0,0,0,0,1,0,0,1,13.603278609868399,19.735149415366745
90,Tom and Jerry,GYEb9QwLgFF9_ZwEAAAA7,e0147541-99dc-484e-817f-1c444e579014,tt1361336,Acquired,Kids & Family,2021-07-08,2021-02-18,551339.0,79000000.0,Gold,Gold,90.0,1372900.0,85483.0,18.477500,1.780000,140,0,0,0,0,0,1,0,0,0,1,0,0,1,16.38334991938123,20.388795114868802
91,Tár,GZPJeawo-ZMPDCAEAAAAC,94e21a87-5b9f-4dae-821a-f3f5f2350b29,tt14444726,Acquired,Drama,2023-10-12,2023-02-09,211356.0,25000000.0,Bronze,Bronze,90.0,264132.0,1239.0,2.153500,0.039700,245,0,0,1,0,0,0,0,0,1,0,0,0,3,10.274960472140602,18.010899571264193
92,Uncharted,GYrNiQQwpWMLDwwEAAADJ,GYrNiQQwpWMLDwwEAAADJ,tt1464335,Acquired,Action,2022-07-07,2022-02-17,2710478.0,120000000.0,Platinum,Platinum,90.0,4132257.0,72379.0,35.186400,1.874900,140,1,0,0,0,0,0,0,0,0,0,1,0,0,16.14328355488898,21.978498552737076
93,Venom: Let There Be Carnage,GYlBeogMjCqFepgEAAABA,GYlBeogMjCqFepgEAAABA,tt7097896,Acquired,Action,2022-04-22,2021-10-07,11644955.0,110000000.0,Platinum,Platinum,90.0,2944195.0,56140.0,28.781600,1.915500,197,1,0,0,0,0,0,0,0,0,0,1,0,0,15.776741443399887,21.489441796499122
94,Violent Night,GZKSpngBMw6d9XQEAAA8l,4b0ffcd7-1ebf-4b03-87c8-d5ac46d6aa0a,tt12003946,Acquired,Action,2023-07-27,2022-12-01,728319.0,20000000.0,Bronze,Bronze,90.0,83186.0,2127.0,0.704600,0.082600,238,1,0,0,0,0,0,0,0,1,0,0,0,3,11.054604317960672,16.344053126304143
95,Where The Crawdads Sing,GY0oj9g84pJSYugEAAAEu,GY0oj9g84pJSYugEAAAEu,tt9411972,Acquired,Drama,2022-11-10,2022-09-01,448243.0,24000000.0,Silver,Silver,90.0,849408.0,8454.0,6.929900,0.261000,70,0,0,1,0,0,0,0,0,0,0,0,1,2,13.045418397030792,19.696098170955864
96,Wonder Woman 1984,GX9KHPw1OIMPCJgEAAAAD,4296565c-c6c9-4b81-9398-fdf996e7d925,tt7126948,Acquired,Action,2021-06-29,2020-12-17,3385283.0,200000000.0,Platinum,Platinum,90.0,1800817.0,306163.0,24.439600,4.287000,194,1,0,0,0,0,0,0,0,0,0,1,0,0,18.2239404171639,20.78022015056469
