,Title Name,legacy_series_id,Reporting Content Category,Net Studio,Wbd Max Content Category,Reporting Primary Genre,Title First Offered Date,geo_value,theatrical_date,first_release_date
26,DC League of Super-Pets,GYw48owR8pBbDwwEAAAh0,Pay 1,WB Film Studio,Movie,Kids & Family,2022-09-26,ARGENTINA,2022-07-28,2022-09-26
27,DC League of Super-Pets,GYw48owR8pBbDwwEAAAh0,Pay 1,WB Film Studio,Movie,Kids & Family,2022-09-26,BRAZIL,2022-07-28,2022-09-26
28,Don't Worry Darling,GYzrqHgFIqsM2ewEAAAD4,Pay 1,WB Film Studio,Movie,Drama,2022-11-07,COLOMBIA,2022-09-22,2022-11-07
29,Don't Worry Darling,GYzrqHgFIqsM2ewEAAAD4,Pay 1,WB Film Studio,Movie,Drama,2022-11-07,MEXICO,2022-09-23,2022-11-07
30,Don't Worry Darling,GYzrqHgFIqsM2ewEAAAD4,Pay 1,WB Film Studio,Movie,Drama,2022-11-07,BRAZIL,2022-09-22,2022-11-07
31,Dune,GYUjdLgBiJp5otAEAAAAJ,Pay 1,WB Film Studio,Movie,Fantasy & Sci-Fi,2021-10-21,BRAZIL,2021-10-21,2021-11-26
32,Dune,GYUjdLgBiJp5otAEAAAAJ,Pay 1,WB Film Studio,Movie,Fantasy & Sci-Fi,2021-10-21,MEXICO,2021-10-22,2021-11-26
33,Dune,GYUjdLgBiJp5otAEAAAAJ,Pay 1,WB Film Studio,Movie,Fantasy & Sci-Fi,2021-10-21,COLOMBIA,2021-10-21,2021-11-26
34,Echoes of a Crime,GYjNxrQs3UYR_AAEAAAA_,Pay 1,Particular Crowd,Movie,Action,2022-03-18,,,
35,Eight for Silver,GZL7MaAgKQziStgEAAAAC,Pay 1,Other 3rd Party,Movie,Horror,2023-08-18,,,
36,Elvis,GYuwmqAnwQZa8kAEAAAE-,Pay 1,WB Film Studio,Movie,drama,2022-09-02,MEXICO,2022-07-15,2022-09-02
37,Elvis,GYuwmqAnwQZa8kAEAAAE-,Pay 1,WB Film Studio,Movie,drama,2022-09-02,BRAZIL,2022-07-14,2022-09-02
38,Elvis,GYuwmqAnwQZa8kAEAAAE-,Pay 1,WB Film Studio,Movie,drama,2022-09-02,COLOMBIA,2022-07-14,2022-09-02
39,Evil Dead Rise,GZDRcgwyT9bGYsAEAAAaQ,Pay 1,WB Film Studio,Movie,Horror,2023-06-23,ARGENTINA,2023-04-20,2023-06-22
40,Evil Dead Rise,GZDRcgwyT9bGYsAEAAAaQ,Pay 1,WB Film Studio,Movie,Horror,2023-06-23,COLOMBIA,2023-04-20,2023-06-22
41,Evil Dead Rise,GZDRcgwyT9bGYsAEAAAaQ,Pay 1,WB Film Studio,Movie,Horror,2023-06-23,BRAZIL,2023-04-20,2023-06-22
42,Expiration Date,GZNZ_Aw2zJILCJwEAAAKW,Pay 1,Particular Crowd,Movie,comedy,2023-09-01,,,
43,Family Camp,GY8ciYAek3UG9tAEAAAvA,Pay 1,Other 3rd Party,Movie,Comedy,2023-02-17,,,
44,Hotel Coppelia,GYBNVwAIET33DwwEAAABO,Pay 1,Other 3rd Party,Movie,Drama,2021-03-26,,,
45,Infinite Storm,GY1v3Gw4FcMLCwwEAAAAx,Pay 1,Other 3rd Party,Movie,Drama,2022-12-02,,,
46,Jesus Revolution,GZPJKGgqhN4LCJwEAAAjq,Pay 1,Sony / Columbia,Movie,Drama,2023-09-29,MEXICO,2023-07-28,2023-09-28
