,title_name,title_id,primary_genre_desc,program_type,air_date,theatrical_release_date,asset_run_time,offering_start_date,offering_end_date,territory,licensor
56,It Comes at Night,GYIjh8AKo1pGxLwEAAAKT,horror,acquired,2017-01-01,,5380.0,2021-05-31 05:00:00,2022-07-31 02:59:00,COLOMBIA,Mars Distribution|Roadshow Films|ANIMAL KINGDOM|A24
57,It Comes at Night,GYIjh8AKo1pGxLwEAAAKT,horror,acquired,2017-01-01,,5380.0,2023-01-18 22:00:00,2024-06-30 20:59:59,BULGARIA,Mars Distribution|Roadshow Films|ANIMAL KINGDOM|A24
58,Hoot,GYGdGYQr-lZc2NAEAAALq,action,acquired,2006-05-05,,5443.0,2021-05-17 03:00:00,2022-03-01 02:59:00,BRAZIL,New Line Cinema|Walden Media
59,Hoot,GYGdGYQr-lZc2NAEAAALq,action,acquired,2006-05-05,,5443.0,2021-01-04 03:00:00,2021-01-05 02:59:00,ARGENTINA,New Line Cinema|Walden Media
60,Hoot,GYGdGYQr-lZc2NAEAAALq,action,acquired,2006-05-05,,5443.0,2021-05-17 05:00:00,2022-03-01 05:59:00,MEXICO,New Line Cinema|Walden Media
61,Hoot,GYGdGYQr-lZc2NAEAAALq,action,acquired,2006-05-05,,5443.0,2021-05-17 03:00:00,2022-03-01 02:59:00,REST OF LATAM,New Line Cinema|Walden Media
62,Hoot,GYGdGYQr-lZc2NAEAAALq,action,acquired,2006-05-05,,5443.0,2021-05-17 03:00:00,2022-03-01 03:59:00,CARIBBEAN,New Line Cinema|Walden Media
63,Hoot,GYGdGYQr-lZc2NAEAAALq,action,acquired,2006-05-05,,5443.0,2021-05-17 05:00:00,2022-03-01 04:59:00,COLOMBIA,New Line Cinema|Walden Media
64,Hoot,GYGdGYQr-lZc2NAEAAALq,action,acquired,2006-05-05,,5443.0,2021-05-17 03:00:00,2022-03-01 02:59:00,ARGENTINA,New Line Cinema|Walden Media
65,Hoot,GYGdGYQr-lZc2NAEAAALq,action,acquired,2006-05-05,,5443.0,2021-01-04 03:00:00,2021-01-05 02:59:00,BRAZIL,New Line Cinema|Walden Media
66,Locked Down,GX_3YsgTKcK_CSwEAAAAp,comedy,original,2021-01-14,,6857.0,2022-03-06 23:00:00,2022-06-29 02:00:00,NETHERLANDS,"The Floating Opera Company, Warner Media Direct, LLC"
67,Locked Down,GX_3YsgTKcK_CSwEAAAAp,comedy,original,2021-01-14,,6857.0,2021-01-10 23:00:00,2021-01-12 22:59:59,NORDICS,"The Floating Opera Company, Warner Media Direct, LLC"
68,Locked Down,GX_3YsgTKcK_CSwEAAAAp,comedy,original,2021-01-14,,6857.0,2021-09-05 22:00:00,2022-06-29 02:00:00,NORDICS,"The Floating Opera Company, Warner Media Direct, LLC"
69,Locked Down,GX_3YsgTKcK_CSwEAAAAp,comedy,original,2021-01-14,,6857.0,2022-01-23 22:00:00,2022-06-29 02:00:00,BULGARIA,"The Floating Opera Company, Warner Media Direct, LLC"
70,Locked Down,GX_3YsgTKcK_CSwEAAAAp,comedy,original,2021-01-14,,6857.0,2021-06-01 05:00:00,2022-06-29 04:59:00,MEXICO,"The Floating Opera Company, Warner Media Direct, LLC"
