title_number,title_name,offering_start_date,genre,medal,pred_type,M1,M2,M3,M4,M5
160.0,REVOLUTION ON CANVAS,2024-02-01,other,Silver,future,-0.0016261022328899826,-0.00024589898605990835,-0.00015082868483746228,-0.0001442801115057554,-0.0001438290367523431
161.0,WELCOME TO TOPEKA,2025-07-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
162.0,YOU WERE MY FIRST BOYFRIEND,2023-11-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
163.0,EYES ON THE PRIZE,2024-12-01,comedy,Platinum,future,-0.004902132789429093,-0.0020943183354121277,-0.0010787299251907038,-0.0007113909019512969,-0.0005785241257687472
164.0,GOD SAVE TEXAS,2024-07-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
165.0,STAX,2024-05-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
166.0,2025 TBD LIMITED SERIES A S1,2025-11-01,drama,Gold,future,-0.0037508651481075973,-0.0016024669242497049,-0.0008253898159069956,-0.0005443204938397239,-0.00044265752763056543
167.0,AREA WEATHERMAN CHARGED WITH MURDER S1,2025-09-01,drama,Gold,future,-0.004376009339458863,-0.00186954474495799,-0.0009629547852248279,-0.0006350405761463447,-0.0005164337822356597
168.0,2025 TBD HALF HOUR A S1,2025-10-01,action,Bronze,future,0.0,0.0,0.0,0.0,0.0
169.0,2025 TBD HALF HOUR B S1,2025-09-01,action,Bronze,future,0.0,0.0,0.0,0.0,0.0
170.0,FRANCHISE S1,2024-10-01,action,Silver,future,-0.0006236186395443558,-0.00026642606538910483,-0.00013722926678645854,-9.049869628496252e-05,-7.359621694326039e-05
171.0,FRANCHISE S2 / TBD,2025-10-01,action,Silver,future,-0.0007127070166221206,-0.0003044869318732627,-0.0001568334477559525,-0.00010342708146852863,-8.4109962220869e-05
172.0,JERROD CARMICHAEL SPECIAL 2,2024-04-01,other,Platinum,future,-0.0033054950221899334,-0.0004998565637155557,-0.0003066003212157307,-0.00029328856497274714,-0.0002923716328624027
173.0,JERROD S1,2024-03-01,action,Bronze,future,0.0,0.0,0.0,0.0,0.0
174.0,JERROD S2 / TBD,2025-04-01,action,Bronze,future,0.0,0.0,0.0,0.0,0.0
175.0,MARC MARON: FROM BLEAK TO DARK,2023-02-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
176.0,PAINTING WITH JOHN S3,2023-06-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
177.0,SAM JAY SPECIAL,2023-09-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
178.0,SOMEBODY SOMEWHERE S3,2024-10-01,action,Bronze,future,0.0,0.0,0.0,0.0,0.0
179.0,THE WHITE LOTUS S3,2025-01-01,drama,Gold,future,-0.005001153530810129,-0.002136622565666274,-0.0011005197545426604,-0.0007257606584529654,-0.0005902100368407538
180.0,WE DON'T BREAK,2024-01-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
181.0,LOGICAL PROGRESSION,2024-07-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
182.0,BARRY BONDS,2025-07-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
183.0,HOW WE GET FREE,2023-11-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
184.0,TIME BOMB Y2K,2023-12-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
185.0,THE BORDER TABLE,2025-04-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
186.0,BEHIND THE COIN,2024-06-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
187.0,PEE-WEE: I KNOW YOU ARE BUT WHAT AM I,2025-07-01,other,Silver,future,-0.0032522044657799652,-0.0004917979721198167,-0.00030165736967492456,-0.0002885602230115108,-0.0002876580735046862
188.0,THE STROLL,2023-06-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
189.0,LOVE HAS WON,2023-11-01,other,Silver,future,-0.001315330311946474,-0.000561943241393441,-0.0002894426222126736,-0.00019087896170361741,-0.0001552284182217325
190.0,I AM NOT A MONSTER: THE LOIS REISS MURDERS,2025-06-01,other,Platinum,future,-0.009916485066569803,-0.001499569691146667,-0.0009198009636471923,-0.0008798656949182415,-0.0008771148985872079
191.0,MONSTERS OF GOD,2026-06-01,other,Silver,future,-0.002630660623892948,-0.001123886482786882,-0.0005788852444253472,-0.00038175792340723483,-0.000310456836443465
192.0,MR. CHOW,2023-10-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
193.0,ROCK HUDSON: ALL THAT HEAVEN ALLOWED,2023-06-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
194.0,THE AAPI LIST,2025-05-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
195.0,SOUTH TO BLACK POWER,2023-11-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
196.0,DAVID HOLMES,2023-11-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
197.0,SLAVE PLAY,2024-06-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
198.0,OKLAHOMA CITY BOMBING,2024-04-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
199.0,ALL THE BEAUTY AND THE BLOODSHED,2023-03-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
200.0,FLORIDA MAN,2024-09-01,other,Gold,future,-0.006876150248687627,-0.001039810621957538,-0.0006377955074270612,-0.0006101041524601982,-0.0006081967337782006
201.0,THE WEEKND: LIVE AT SOFI STADIUM,2023-02-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
202.0,HARD KNOCKS IN SEASON S3,2023-11-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
203.0,TBD LIMITED SERIES '26A S1,2026-07-01,drama,Silver,future,-0.0013777636870823224,-0.0005886163993647285,-0.0003031812851544296,-0.0001999392089383577,-0.00016259647929244564
204.0,ELIZABETH TAYLOR,2024-12-01,other,Gold,future,-0.0034380751243438135,-0.000519905310978769,-0.0003188977537135306,-0.0003050520762300991,-0.0003040983668891003
205.0,TBD '26A FILM HBO,2026-05-01,drama,Silver,future,-0.0015705903652376456,-0.00023750448804255953,-0.00014567969615672432,-0.00013935467797963726,-0.00013891900201327926
206.0,LAST CALL,2023-07-01,comedy,Platinum,future,-0.003268088526286063,-0.0013962122236080851,-0.0007191532834604692,-0.0004742606013008646,-0.0003856827505124982
207.0,MENTAL HEALTH,2023-09-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
208.0,"MOVIE PASS, MOVIE CRASH",2025-06-01,other,Gold,future,-0.0034380751243438135,-0.000519905310978769,-0.0003188977537135306,-0.0003050520762300991,-0.0003040983668891003
209.0,FRANCHISE S3 / TBD,2026-10-01,comedy,Platinum,future,-0.003861466437925824,-0.0016497186653053615,-0.0008497279818067216,-0.0005603708039191311,-0.0004557101145859747
210.0,SYRACUSE PROJECT,2026-10-01,other,Gold,future,-0.0034380751243438135,-0.000519905310978769,-0.0003188977537135306,-0.0003050520762300991,-0.0003040983668891003
211.0,SIREN,2026-06-01,other,Gold,future,-0.0034380751243438135,-0.000519905310978769,-0.0003188977537135306,-0.0003050520762300991,-0.0003040983668891003
212.0,THE BRAVE,2023-10-01,other,Silver,future,-0.001315330311946474,-0.000561943241393441,-0.0002894426222126736,-0.00019087896170361741,-0.0001552284182217325
213.0,THE INSURRECTIONISTS,2023-10-01,other,Silver,future,-0.0016261022328899826,-0.00024589898605990835,-0.00015082868483746228,-0.0001442801115057554,-0.0001438290367523431
214.0,THE MORTICIAN,2024-09-01,comedy,Platinum,future,-0.0024510663947145466,-0.0010471591677060639,-0.0005393649625953519,-0.00035569545097564843,-0.0002892620628843736
215.0,QUAD GODS,2025-02-01,other,Gold,future,-0.0034380751243438135,-0.000519905310978769,-0.0003188977537135306,-0.0003050520762300991,-0.0003040983668891003
216.0,NIKKI GLASER SPECIAL 2,2024-01-01,other,Silver,future,-0.0010840681552599886,-0.00016393265737327226,-0.0001005524565583082,-9.618674100383693e-05,-9.58860245015621e-05
217.0,ZUCKER HILLSIDE THERAPY,2024-04-01,other,Gold,future,-0.006876150248687627,-0.001039810621957538,-0.0006377955074270612,-0.0006101041524601982,-0.0006081967337782006
218.0,THE WHITE LOTUS S4 / TBD,2026-08-01,drama,Gold,future,-0.005001153530810129,-0.002136622565666274,-0.0011005197545426604,-0.0007257606584529654,-0.0005902100368407538
219.0,BEING MARY TYLER MOORE,2023-05-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
220.0,MS. MAGAZINE 50TH ANNIVERSARY PROJECT,2025-09-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
221.0,NANFU WANG CUBA,2025-03-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
222.0,MUSIC BOX: JASON ISBELL,2023-04-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
223.0,THE CASE AGAINST ADNAN SYED EP. 105,2024-05-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
224.0,TASK S1,2025-03-01,drama,Gold,future,-0.004376009339458863,-0.00186954474495799,-0.0009629547852248279,-0.0006350405761463447,-0.0005164337822356597
225.0,A DARK ROOM IN THE GLITTERBALL CITY,2026-03-01,other,Gold,future,-0.0013706399042025049,-0.0005855729344600508,-0.0003016136740547076,-0.00019890541517024379,-0.0001617557676186207
226.0,RENAISSANCE FAIR,2024-06-01,comedy,Platinum,future,-0.0024510663947145466,-0.0010471591677060639,-0.0005393649625953519,-0.00035569545097564843,-0.0002892620628843736
227.0,MUSIC BOX S2,2025-07-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
228.0,BILLY JOEL,2025-05-01,other,Platinum,future,-0.009916485066569803,-0.001499569691146667,-0.0009198009636471923,-0.0008798656949182415,-0.0008771148985872079
229.0,THE PALLADINO FILES,2025-10-01,other,Gold,future,-0.0013706399042025049,-0.0005855729344600508,-0.0003016136740547076,-0.00019890541517024379,-0.0001617557676186207
230.0,FAYE,2025-04-01,other,Silver,future,-0.002168136310519977,-0.0003278653147465445,-0.0002011049131166164,-0.00019237348200767387,-0.0001917720490031242
231.0,PHILADELPHIA MUSIC PROJECT,2023-11-01,other,Silver,future,-0.0010840681552599886,-0.00016393265737327226,-0.0001005524565583082,-9.618674100383693e-05,-9.58860245015621e-05
232.0,PAROLE PREP,2025-03-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
233.0,BRENT RENAUD PROJECT,2026-10-01,other,Silver,future,-0.002168136310519977,-0.0003278653147465445,-0.0002011049131166164,-0.00019237348200767387,-0.0001917720490031242
234.0,SYNANON,2024-03-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
235.0,APRIL AND AMANDA,2025-06-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
236.0,NEAR SPACE,2026-02-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
237.0,DARK MONEY PROJECT,2025-05-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
238.0,MOTHERCUTTERS,2026-07-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
239.0,SOPRANOS DOC,2026-02-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
240.0,TBD NEWS/TALK SERIES A S2,2025-05-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
241.0,TBD NEWS/TALK SERIES A S3,2026-05-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
242.0,100 FOOT WAVE S3,2024-07-01,comedy,Platinum,future,-0.003268088526286063,-0.0013962122236080851,-0.0007191532834604692,-0.0004742606013008646,-0.0003856827505124982
243.0,HARD KNOCKS IN SEASON S4,2024-11-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
244.0,ALBERT BROOKS: DEFENDING HIS LIFE,2023-11-01,other,Platinum,future,-0.004958242533284901,-0.0007497848455733336,-0.00045990048182359617,-0.00043993284745912076,-0.00043855744929360396
245.0,HARD KNOCKS IN SEASON S5,2025-11-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
246.0,WE'RE HERE S4,2024-04-01,comedy,Platinum,future,-0.004902132789429093,-0.0020943183354121277,-0.0010787299251907038,-0.0007113909019512969,-0.0005785241257687472
