,genre,medal,category,is_pay_1,hit_series,program_type,days_on_hbo_max,asset_run_time_hours,churn_per_hr_person,change_in_churn_prediction
3420,other,Platinum,movies,0,0,original,120,1.6302582698197332,-0.026196999079803912,-1.7649532417795967e-05
3421,other,Platinum,movies,0,0,original,121,1.6302582698197332,-0.026196999079803912,-1.7648572453898328e-05
3422,other,Platinum,movies,0,0,original,122,1.6302582698197332,-0.026196999079803912,-1.7647694392345797e-05
3423,other,Platinum,movies,0,0,original,123,1.6302582698197332,-0.026196999079803912,-1.76468912453817e-05
3424,other,Platinum,movies,0,0,original,124,1.6302582698197332,-0.026196999079803912,-1.7646156621431834e-05
3425,other,Platinum,movies,0,0,original,125,1.6302582698197332,-0.026196999079803912,-1.764548467423931e-05
3426,other,Platinum,movies,0,0,original,126,1.6302582698197332,-0.026196999079803912,-1.764487005633905e-05
3427,other,Platinum,movies,0,0,original,127,1.6302582698197332,-0.026196999079803912,-1.764430787650183e-05
3428,other,Platinum,movies,0,0,original,128,1.6302582698197332,-0.026196999079803912,-1.7643793660809043e-05
3429,other,Platinum,movies,0,0,original,129,1.6302582698197332,-0.026196999079803912,-1.764332331704856e-05
3430,other,Platinum,movies,0,0,original,130,1.6302582698197332,-0.026196999079803912,-1.764289310214822e-05
3431,other,Platinum,movies,0,0,original,131,1.6302582698197332,-0.026196999079803912,-1.7642499592387857e-05
3432,other,Platinum,movies,0,0,original,132,1.6302582698197332,-0.026196999079803912,-1.7642139656152787e-05
3433,other,Platinum,movies,0,0,original,133,1.6302582698197332,-0.026196999079803912,-1.7641810429011893e-05
3434,other,Platinum,movies,0,0,original,134,1.6302582698197332,-0.026196999079803912,-1.7641509290922036e-05
3435,other,Platinum,movies,0,0,original,135,1.6302582698197332,-0.026196999079803912,-1.7641233845377306e-05
3436,other,Platinum,movies,0,0,original,136,1.6302582698197332,-0.026196999079803912,-1.764098190033725e-05
3437,other,Platinum,movies,0,0,original,137,1.6302582698197332,-0.026196999079803912,-1.764075145078225e-05
3438,other,Platinum,movies,0,0,original,138,1.6302582698197332,-0.026196999079803912,-1.764054066275726e-05
3439,other,Platinum,movies,0,0,original,139,1.6302582698197332,-0.026196999079803912,-1.7640347858776893e-05
3440,other,Platinum,movies,0,0,original,140,1.6302582698197332,-0.026196999079803912,-1.76401715044757e-05
3441,other,Platinum,movies,0,0,original,141,1.6302582698197332,-0.026196999079803912,-1.764001019639747e-05
3442,other,Platinum,movies,0,0,original,142,1.6302582698197332,-0.026196999079803912,-1.7639862650826272e-05
3443,other,Platinum,movies,0,0,original,143,1.6302582698197332,-0.026196999079803912,-1.7639727693570446e-05
3444,other,Platinum,movies,0,0,original,144,1.6302582698197332,-0.026196999079803912,-1.7639604250618195e-05
3445,other,Platinum,movies,0,0,original,145,1.6302582698197332,-0.026196999079803912,-1.763949133959043e-05
3446,other,Platinum,movies,0,0,original,146,1.6302582698197332,-0.026196999079803912,-1.763938806192282e-05
3447,other,Platinum,movies,0,0,original,147,1.6302582698197332,-0.026196999079803912,-1.7639293595714887e-05
3448,other,Platinum,movies,0,0,original,148,1.6302582698197332,-0.026196999079803912,-1.7639207189189177e-05
3449,other,Platinum,movies,0,0,original,149,1.6302582698197332,-0.026196999079803912,-1.763912815470851e-05
3450,other,Silver,movies,0,0,original,0,1.6302582698197332,-0.03823411062516256,-0.00016970248744455378
3451,other,Silver,movies,0,0,original,1,1.6302582698197332,-0.03823411062516256,-0.0001557173197238076
