,title_id,title,home_territory_observed_medal,pillar_genres,imdb_id,theatrical_release_date,offering_start_date,days_from_theatrical2,pct_actives,days_from_max_launch,cumulative_viewing_subs,cumulative_first_views,area_gross,budget,genre_Action/Adventure ,genre_Comedy,genre_Drama,genre_Horror ,genre_Kids/Family,genre_Romance,genre_Sci-Fi,genre_Suspense/Thriller,medal_Bronze,medal_Gold,medal_Platinum,medal_Silver,medal_number,log_cumulative_first_views,platform
92,GYt_9-AbG4b3CaQEAAAy3,Moonfall,Gold,Action/Adventure ,tt5834426,2022-02-04,2022-09-09,209,0.191920,-625,5790855,43825,9868997.0,150000000.0,1,0,0,0,0,0,0,0,0,1,0,0,1,15.419466470534262,1.0
93,GYDVmsQSP26GLlAEAAAAt,The New Mutants,Gold,Action/Adventure ,tt4682266,2020-08-28,2021-04-11,225,0.147123,-100,3921480,26142,7037017.0,67000000.0,1,0,0,0,0,0,0,0,0,1,0,0,1,14.674081898636324,1.0
94,GXw3dswg2J5piwwEAAAbW,The Invisible Man,Silver,Horror ,tt1051906,2020-02-28,2020-09-20,82,0.095035,82,1200145,48842,28205665.0,7000000.0,0,0,0,1,0,0,0,0,0,0,0,1,2,15.575834657086169,1.0
95,GYpd0sACo9rqfUAEAAABf,The Bob's Burgers Movie,Gold,Comedy,tt7466442,2022-05-27,2022-07-12,46,0.095479,-737,2839193,18583,12416819.0,38000000.0,0,1,0,0,0,0,0,0,0,1,0,0,1,14.18169580569119,2.0
96,GXrR0EARoJo5awgEAAAMM,Midway,Silver,Action/Adventure ,tt6924650,2019-11-08,2020-07-05,194,0.062782,194,552686,35092,17897419.0,100000000.0,1,0,0,0,0,0,0,0,0,0,0,1,2,15.098854553218757,1.0
97,GYNJLJQdcZsLCwwEAAAA3,Half Brothers,Bronze,Comedy,tt10515926,2020-12-04,2021-08-21,240,0.033567,-198,915677,6024,700160.0,,0,1,0,0,0,0,0,0,1,0,0,0,3,12.556506054671928,1.0
98,GYPrhpAPc62CutQEAAAAT,Promising Young Woman,Bronze,Drama,tt9620292,2020-12-25,2021-09-26,250,0.057557,-219,1621253,12712,719305.0,,0,0,1,0,0,0,0,0,1,0,0,0,3,13.63390340934852,1.0
99,GXo-RygZTqQwlRQEAAAAE,Ad Astra,Silver,Sci-Fi,tt2935510,2019-09-20,2020-06-07,243,0.082695,243,666578,53878,19001398.0,90000000.0,0,0,0,0,0,0,1,0,0,0,0,1,2,15.717408677201275,1.0
100,GXzFw6g2EM1RWwgEAAAX2,Cats,Bronze,Comedy,tt5697572,2019-12-20,2020-10-11,152,0.032854,152,567902,14470,6619870.0,95000000.0,0,1,0,0,0,0,0,0,1,0,0,0,3,13.820777301419087,1.0
101,GX4cqxwHQscPCwwEAAAFW,The Photograph,Bronze,Romance,tt7798646,2020-02-14,2020-12-06,96,0.024790,96,494317,13987,12181865.0,16000000.0,0,0,0,0,0,1,0,0,1,0,0,0,3,13.771798938961059,1.0
102,GYaqMmQQ6oMNHsAEAAABg,Ron's Gone Wrong,Bronze,Kids/Family,tt7504818,2020-11-06,2021-12-15,404,0.051065,-170,1610646,13493,7300225.0,,0,0,0,0,1,0,0,0,1,0,0,0,3,13.719923528720669,2.0
