Region,Country,Company,Business Line,Business model,Distribution/Technology,Digital/Analogue,Year,Quarter,Value
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2020,Q4,230
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2025,Q2,229
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2026,Q3,228
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2017,Q2,226
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2025,Q1,213
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2017,Q1,206
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2026,Q4,197
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2016,Q4,192
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2020,Q2,191
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2026,Q2,187
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2021,Q2,185
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2021,Q1,179
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2020,Q1,179
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2026,Q1,173
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2027,Q3,173
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2016,Q3,171
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2019,Q4,163
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2027,Q4,150
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2016,Q2,144
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2027,Q2,140
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2027,Q1,130
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2016,Q1,128
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2015,Q4,120
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2015,Q3,104
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2015,Q2,87
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2015,Q1,75
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2014,Q4,67
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2014,Q3,56
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2014,Q2,45
