Region,Country,Company,Business Line,Business model,Distribution/Technology,Digital/Analogue,Year,Quarter,Value
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2018,Q3,"1,700,701"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2018,Q4,"1,687,286"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2019,Q1,"1,666,067"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2007,Q2,"1,650,695"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2019,Q2,"1,622,424"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2019,Q3,"1,570,067"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2019,Q4,"1,523,845"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2020,Q1,"1,488,120"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2020,Q2,"1,463,721"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2020,Q3,"1,452,080"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2021,Q1,"1,447,787"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2020,Q4,"1,445,669"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2021,Q2,"1,443,199"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2021,Q3,"1,428,029"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2021,Q4,"1,389,158"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2022,Q1,"1,350,828"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2007,Q1,"1,341,786"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2022,Q2,"1,300,753"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2022,Q3,"1,241,641"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2022,Q4,"1,180,123"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2023,Q1,"1,142,129"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2023,Q2,"1,111,390"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2023,Q3,"1,068,474"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2006,Q4,"1,037,413"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2023,Q4,"1,012,299"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2006,Q3,"981,715"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2024,Q1,"974,318"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2024,Q2,"948,139"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2006,Q2,"930,665"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2024,Q3,"913,945"
