Region,Country,Company,Business Line,Business model,Distribution/Technology,Digital/Analogue,Year,Quarter,Value
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2009,Q3,"17,083"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2009,Q2,"16,945"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2009,Q1,"16,736"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2012,Q1,"16,511"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2011,Q1,"16,485"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2011,Q3,"16,476"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2011,Q2,"16,473"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2013,Q1,"16,450"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2011,Q4,"16,427"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2012,Q2,"16,408"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2013,Q2,"16,369"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2012,Q3,"16,356"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2012,Q4,"16,342"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2014,Q1,"16,327"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2008,Q4,"16,322"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2013,Q3,"16,318"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2010,Q4,"16,310"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2013,Q4,"16,286"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2014,Q2,"16,227"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2014,Q3,"16,208"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2014,Q4,"15,683"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2015,Q1,"15,677"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2015,Q2,"15,455"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2015,Q3,"15,221"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2015,Q4,"15,047"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2016,Q1,"14,905"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2008,Q3,"14,841"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2008,Q2,"14,693"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2008,Q1,"14,647"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2016,Q2,"14,638"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2016,Q3,"14,443"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2016,Q4,"14,238"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2007,Q4,"14,156"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2017,Q1,"14,123"
