SEGMENT_NAME,START_DATE,END_DATE,DAYS_ON_HBO_MAX,COHORT_SUBS
Thrilling Action Movies,2022-08-22,2023-01-31,162,1823068
Thrilling Action Movies,2022-08-22,2023-02-01,163,1826011
Buzzy HBO Originals,2022-08-22,2023-02-01,163,2048597
Thrilling Action Movies,2022-08-22,2023-02-02,164,1828759
Buzzy HBO Originals,2022-08-22,2023-02-02,164,2050161
Buzzy HBO Originals,2022-08-22,2023-02-03,165,2051609
Thrilling Action Movies,2022-08-22,2023-02-03,165,1830995
Buzzy HBO Originals,2022-08-22,2023-02-04,166,2053056
Thrilling Action Movies,2022-08-22,2023-02-04,166,1833177
Buzzy HBO Originals,2022-08-22,2023-02-05,167,2054906
Thrilling Action Movies,2022-08-22,2023-02-05,167,1836007
Thrilling Action Movies,2022-08-22,2023-02-06,168,1838808
Buzzy HBO Originals,2022-08-22,2023-02-06,168,2056661
Thrilling Action Movies,2022-08-22,2023-02-07,169,1842795
Buzzy HBO Originals,2022-08-22,2023-02-07,169,2058744
Thrilling Action Movies,2022-08-22,2023-02-08,170,1845271
Buzzy HBO Originals,2022-08-22,2023-02-08,170,2060383
Buzzy HBO Originals,2022-08-22,2023-02-09,171,2061755
Thrilling Action Movies,2022-08-22,2023-02-09,171,1847356
Buzzy HBO Originals,2022-08-22,2023-02-10,172,2063068
Thrilling Action Movies,2022-08-22,2023-02-10,172,1849354
Thrilling Action Movies,2022-08-22,2023-02-11,173,1851464
Buzzy HBO Originals,2022-08-22,2023-02-11,173,2064411
Buzzy HBO Originals,2022-08-22,2023-02-12,174,2066549
Thrilling Action Movies,2022-08-22,2023-02-12,174,1855176
Thrilling Action Movies,2022-08-22,2023-02-13,175,1858863
Buzzy HBO Originals,2022-08-22,2023-02-13,175,2068739
Buzzy HBO Originals,2022-08-22,2023-02-14,176,2070151
Thrilling Action Movies,2022-08-22,2023-02-14,176,1861460
Thrilling Action Movies,2022-08-22,2023-02-15,177,1863867
Buzzy HBO Originals,2022-08-22,2023-02-15,177,2071471
Buzzy HBO Originals,2022-08-22,2023-02-16,178,2072871
Thrilling Action Movies,2022-08-22,2023-02-16,178,1866209
Thrilling Action Movies,2022-08-22,2023-02-17,179,1868483
Buzzy HBO Originals,2022-08-22,2023-02-17,179,2074168
Buzzy HBO Originals,2022-08-22,2023-02-18,180,2075603
Thrilling Action Movies,2022-08-22,2023-02-18,180,1870928
Buzzy HBO Originals,2022-08-22,2023-02-19,181,2077410
Thrilling Action Movies,2022-08-22,2023-02-19,181,1873958
Thrilling Action Movies,2022-08-22,2023-02-20,182,1877354
Buzzy HBO Originals,2022-08-22,2023-02-20,182,2079365
Buzzy HBO Originals,2022-08-22,2023-02-21,183,2081491
Thrilling Action Movies,2022-08-22,2023-02-21,183,1881462
Thrilling Action Movies,2022-08-22,2023-02-22,184,1884128
Buzzy HBO Originals,2022-08-22,2023-02-22,184,2083052
Buzzy HBO Originals,2022-08-22,2023-02-23,185,2084486
Thrilling Action Movies,2022-08-22,2023-02-23,185,1886476
Thrilling Action Movies,2022-08-22,2023-02-24,186,1888754
Buzzy HBO Originals,2022-08-22,2023-02-24,186,2085749
Thrilling Action Movies,2022-08-22,2023-02-25,187,1890986
Buzzy HBO Originals,2022-08-22,2023-02-25,187,2086992
Thrilling Action Movies,2022-08-22,2023-02-26,188,1893872
Buzzy HBO Originals,2022-08-22,2023-02-26,188,2088689
Buzzy HBO Originals,2022-08-22,2023-02-27,189,2090608
Thrilling Action Movies,2022-08-22,2023-02-27,189,1897105
Thrilling Action Movies,2022-08-22,2023-02-28,190,1900583
Buzzy HBO Originals,2022-08-22,2023-02-28,190,2092308
Thrilling Action Movies,2022-08-22,2023-03-01,191,1903029
Buzzy HBO Originals,2022-08-22,2023-03-01,191,2093668
Buzzy HBO Originals,2022-08-22,2023-03-02,192,2094643
Thrilling Action Movies,2022-08-22,2023-03-02,192,1904771
Thrilling Action Movies,2022-08-22,2023-03-03,193,1906812
Buzzy HBO Originals,2022-08-22,2023-03-03,193,2095743
Buzzy HBO Originals,2022-08-22,2023-03-04,194,2096984
Thrilling Action Movies,2022-08-22,2023-03-04,194,1908899
Thrilling Action Movies,2022-08-22,2023-03-05,195,1911610
Buzzy HBO Originals,2022-08-22,2023-03-05,195,2098467
Thrilling Action Movies,2022-08-22,2023-03-06,196,1913871
Buzzy HBO Originals,2022-08-22,2023-03-06,196,2099864
