,date_month,sub_month,is_cancel,subscriber_count
613,2022-04-01,8,False,363735
614,2023-05-01,8,False,185959
615,2022-07-01,8,True,21031
616,2023-06-01,8,False,1
617,2023-01-01,8,False,197409
618,2022-07-01,8,False,289759
619,2022-04-01,8,True,26035
620,2023-03-01,8,False,186182
621,2022-06-01,8,False,370235
622,2022-09-01,8,True,21774
623,2022-09-01,8,False,305459
624,2023-05-01,8,True,60958
625,2023-04-01,8,True,24196
626,2022-06-01,8,True,24590
627,2023-04-01,8,False,318095
628,2022-08-01,8,True,37143
629,2022-08-01,8,False,486840
630,2022-12-01,8,True,17584
631,2023-02-01,8,False,169578
632,2023-02-01,7,True,15688
633,2023-04-01,7,False,247303
634,2023-02-01,7,False,194201
635,2022-11-01,7,True,20703
636,2023-04-01,7,True,21019
637,2023-03-01,7,True,25254
638,2022-07-01,7,True,42654
639,2022-05-01,7,False,397615
640,2022-08-01,7,True,28048
641,2022-12-01,7,True,17543
642,2022-11-01,7,False,248573
643,2022-06-01,7,True,23765
644,2022-09-01,7,False,304939
645,2023-05-01,7,True,68820
646,2022-07-01,7,False,525012
647,2022-04-01,7,False,211472
648,2023-06-01,7,True,27
649,2022-08-01,7,False,329491
650,2022-01-01,7,False,546373
651,2022-04-01,7,True,16176
652,2022-03-01,7,True,28912
653,2022-01-01,7,True,38461
654,2022-06-01,7,False,311627
655,2022-02-01,7,False,350611
656,2022-12-01,7,False,213715
657,2022-02-01,7,True,29064
658,2022-10-01,7,False,230163
659,2022-10-01,7,True,17358
660,2023-05-01,7,False,144338
661,2022-03-01,7,False,390449
662,2023-01-01,7,False,185742
663,2022-09-01,7,True,25965
664,2023-03-01,7,False,344337
665,2022-05-01,7,True,27811
666,2023-01-01,7,True,16352
667,2023-03-01,6,False,268970
668,2022-01-01,6,True,38483
669,2022-11-01,6,True,20643
670,2022-06-01,6,False,566065
671,2022-01-01,6,False,386226
672,2023-06-01,6,True,34
673,2022-08-01,6,False,331061
674,2022-03-01,6,False,226902
675,2022-04-01,6,True,34005
676,2023-05-01,6,False,170086
677,2022-09-01,6,True,22167
678,2022-05-01,6,False,335636
679,2023-05-01,6,True,66577
680,2023-02-01,6,True,32634
681,2023-04-01,6,False,210686
682,2022-02-01,6,False,413929
683,2023-01-01,6,True,20741
684,2023-02-01,6,False,362221
685,2022-05-01,6,True,26624
686,2022-10-01,6,True,22702
687,2022-06-01,6,True,48107
688,2022-02-01,6,True,35733
689,2022-09-01,6,False,246503
690,2022-04-01,6,False,422729
691,2022-07-01,6,True,32387
692,2022-07-01,6,False,358286
693,2022-08-01,6,True,34030
694,2022-12-01,6,False,202655
695,2022-11-01,6,False,228686
696,2022-10-01,6,False,270039
697,2023-04-01,6,True,20006
698,2023-03-01,6,True,21456
699,2022-12-01,6,True,18330
700,2022-03-01,6,True,17945
701,2023-06-01,6,False,1
702,2023-01-01,6,False,216414
703,2022-03-01,5,False,458826
704,2022-06-01,5,True,38204
705,2022-09-01,5,True,29768
706,2022-07-01,5,False,366075
707,2023-06-01,5,True,52
708,2022-02-01,5,True,23038
709,2022-01-01,5,True,48277
710,2022-05-01,5,True,58017
711,2022-12-01,5,True,24704
712,2023-05-01,5,True,111548
713,2022-01-01,5,False,455599
714,2023-03-01,5,True,21953
715,2022-03-01,5,True,40731
716,2023-03-01,5,False,234144
717,2023-02-01,5,False,288478
718,2022-12-01,5,False,237950
719,2022-06-01,5,False,388442
720,2023-04-01,5,True,24056
721,2023-05-01,5,False,205331
722,2022-02-01,5,False,241102
723,2022-08-01,5,True,29494
