,expiration_month,level,title_viewed_lower_bound,title_viewed_upper_bound,title_viewed_bin,churn,vol_churn,invol_churn,user_dist,user_id,is_cancel
167,2023-10,monthly_new_titles_viewed,5.5,6.0,5.75,0.02972749793559042,0.011147811725846408,0.018579686209744012,0.0003319548026129859,2422,72
168,2023-10,monthly_new_titles_viewed,6.0,6.5,6.25,0.02524271844660194,0.009708737864077669,0.015533980582524271,0.0002117548183472598,1545,39
169,2023-10,monthly_new_titles_viewed,6.5,7.0,6.75,0.019102196752626553,0.007640878701050621,0.011461318051575931,0.00014349986719066734,1047,20
170,2023-10,monthly_new_titles_viewed,7.0,7.5,7.25,0.023183925811437404,0.0030911901081916537,0.02009273570324575,8.86766132496292e-05,647,15
171,2023-10,monthly_new_titles_viewed,7.5,8.0,7.75,0.029787234042553193,0.00425531914893617,0.02553191489361702,6.441732338071982e-05,470,14
172,2023-10,monthly_new_titles_viewed,8.0,8.5,8.25,0.034013605442176874,0.01020408163265306,0.023809523809523808,4.029509164666303e-05,294,10
173,2023-10,monthly_new_titles_viewed,8.5,9.0,8.75,0.019801980198019802,0.0,0.019801980198019802,2.768574324022426e-05,202,4
174,2023-10,monthly_new_titles_viewed,9.0,9.5,9.25,0.015151515151515152,0.007575757575757576,0.007575757575757576,1.8091673800542586e-05,132,2
175,2023-10,monthly_new_titles_viewed,9.5,10.0,9.75,0.02857142857142857,0.01904761904761905,0.009523809523809525,1.439110415952251e-05,105,3
176,2023-10,monthly_new_titles_viewed,10.0,10.5,10.25,0.017241379310344827,0.0,0.017241379310344827,7.94937182145053e-06,58,1
177,2023-10,monthly_new_titles_viewed,10.5,11.0,10.75,0.043478260869565216,0.0,0.043478260869565216,6.304674203219386e-06,46,2
178,2023-10,monthly_new_titles_viewed,11.0,11.5,11.25,0.13333333333333333,0.03333333333333333,0.1,4.111744045577861e-06,30,4
179,2023-10,monthly_new_titles_viewed,11.5,12.0,11.75,0.08,0.0,0.08,3.4264533713148837e-06,25,2
180,2023-10,monthly_new_titles_viewed,12.0,13.0,12.5,0.08571428571428572,0.02857142857142857,0.05714285714285714,4.797034719840837e-06,35,3
181,2023-10,monthly_new_titles_viewed,13.0,14.0,13.5,0.0,0.0,0.0,8.223488091155721e-07,6,0
182,2023-10,monthly_new_titles_viewed,14.0,15.0,14.5,0.0,0.0,0.0,1.0964650788207628e-06,8,0
183,2023-10,monthly_new_titles_viewed,15.0,16.0,15.5,0.0,0.0,0.0,1.0964650788207628e-06,8,0
184,2023-10,monthly_new_titles_viewed,16.0,19.0,17.5,0.25,0.25,0.0,5.482325394103814e-07,4,1
185,2023-10,monthly_new_titles_viewed,19.0,28.5,23.75,0.0,0.0,0.0,8.223488091155721e-07,6,0
186,2023-12,total,-0.011,0.0,-0.0055,,,,0.0,0,0
187,2023-12,total,0.0,0.5,0.25,0.061701054008144934,0.045060091968074145,0.01664096204007079,0.09719535035117184,703505,43407
