,expiration_month,content_pillar,pillar_rank,percent_viewing_subs,absolute churn reduction,number of users impacted,ckg_series_id
123,2022-02-01,Segment Anchor - Docu-Movies (OP),3.0,0.003023870431149599,5.941437440497993e-05,245.38166336443913,5
124,2022-02-01,Segment Anchor - Docu-Series (Acq),3.0,0.0006895875428722241,2.716916894920929e-06,11.22088036060791,1
125,2022-02-01,Segment Anchor - Docu-Series (OP),3.0,0.0021891157089469412,0.00024209235570889914,999.842639539532,17
126,2022-02-01,Segment Anchor - Drama Series (Acq),3.0,0.006271905239824166,0.00012287366427139734,507.46884780919237,5
127,2022-02-01,Segment Anchor - Drama Series (OP),3.0,0.003979079697874227,0.0003252054532741147,1343.1001480493603,21
128,2022-02-01,Segment Anchor - Kids Series (OP),3.0,0.00039491477613223233,1.1418486072049816e-05,47.1584045699961,6
129,2022-02-01,Segment Anchor - Movies (Acq),3.0,0.016014242113508336,0.001191944009807308,4922.734720224232,20
130,2022-02-01,Segment Anchor - Movies (OP),3.0,0.0004033233065643438,5.231992258267204e-05,216.08154186604844,33
131,2022-02-01,Segment Anchor - Specials,3.0,0.0005244545708782435,2.0663683584221104e-06,8.534111652125109,1
132,2022-02-01,Segment Anchor - Unscripted Series (Acq),3.0,0.007311431826353721,0.0002876615287650888,1188.0435521074608,4
133,2022-02-01,Segment Anchor - Unscripted Series (OP),3.0,0.005318018850932249,0.0004053761552166302,1674.2055479254586,9
134,2022-03-01,Brand Halo - Comedy Series (OP),7.0,0.0037987625970510174,0.00024948943314819644,1079.3651366713095,7
135,2022-03-01,Brand Halo - Docu-Movies (Acq),7.0,5.316326021150656e-05,4.1896156960374853e-07,1.8125517627304188,2
136,2022-03-01,Brand Halo - Docu-Movies (OP),7.0,8.098401605952714e-05,6.173239692013749e-05,267.07262186600315,194
137,2022-03-01,Brand Halo - Docu-Series (OP),7.0,0.0002190571062065428,1.4664113177409455e-05,63.44129418297381,17
138,2022-03-01,Brand Halo - Drama Series (OP),7.0,0.0014645755861365012,0.00021378505409769266,924.8974244026314,32
139,2022-03-01,Brand Halo - Movies (Acq),7.0,0.007443318718830149,2.9290393651765223e-05,126.71891289405728,1
140,2022-03-01,Brand Halo - Movies (OP),7.0,9.575780199613732e-05,3.541104700191533e-05,153.1986710001983,94
141,2022-03-01,Brand Halo - Specials,7.0,0.00010112926889772487,3.937946172318657e-05,170.36720773517516,99
142,2022-03-01,Brand Halo - Unscripted Series (OP),7.0,0.001121030343487614,8.502249957637042e-05,367.83249982725306,11
143,2022-03-01,Engagement Anchor - Comedy Series (Acq),2.0,0.01385919964792053,5.44747215299457e-05,235.67376985611799,1
144,2022-03-01,Engagement Anchor - Comedy Series (OP),2.0,0.008500931386697871,0.0006797275147299026,2940.702428065919,11
145,2022-03-01,Engagement Anchor - Docu-Series (OP),2.0,0.0006811171232190968,1.877101314618629e-05,81.20895909029315,7
146,2022-03-01,Engagement Anchor - Drama Series (OP),2.0,0.009575569956378389,0.0016976348685557724,7344.4709412933635,28
147,2022-03-01,Engagement Anchor - Movies (Acq),2.0,0.023727944438177856,0.002897174774995452,12534.035640363725,36
148,2022-03-01,Engagement Anchor - Movies (OP),2.0,0.003545087992129988,0.00013880235293078913,600.5000642750613,10
