,entertainment_segment_lifetime,medal,content_sub_pillar,percent_viewing_subs
212,Food & Home Watchers,Platinum,Supporter: New Content,0.12039577346039715
213,Food & Home Watchers,Platinum,Tentpole Anchor,0.5131871661571039
214,Food & Home Watchers,Silver,Buzz/Prestige/Brand Support,0.022157287715767474
215,Food & Home Watchers,Silver,Engagement Anchor,0.05794319352985529
216,Food & Home Watchers,Silver,Experimentation,0.07002828667586579
218,Food & Home Watchers,Silver,Supporter: Broad Library,0.12859869010036282
219,Food & Home Watchers,Silver,Supporter: New Content,0.04303289341671787
220,Ghost Hunters,Bronze,Buzz/Prestige/Brand Support,0.004654238758479432
221,Ghost Hunters,Bronze,Engagement Anchor,0.03682928629419145
222,Ghost Hunters,Bronze,Experimentation,0.010833548692750153
224,Ghost Hunters,Bronze,News & Sports,0.0023864587321482367
225,Ghost Hunters,Bronze,Supporter: Broad Library,0.010532141569367753
226,Ghost Hunters,Bronze,Supporter: New Content,0.015514820399060856
227,Ghost Hunters,Bronze,Supporter: Segment-Specific Library,0.005208469728413073
228,Ghost Hunters,Gold,Engagement Anchor,0.0588338837638668
229,Ghost Hunters,Gold,Experimentation,0.03201724619745299
230,Ghost Hunters,Gold,Supporter: New Content,0.08407011365828249
231,Ghost Hunters,Gold,Tentpole Anchor,0.030280704339497533
232,Ghost Hunters,Platinum,Engagement Anchor,0.2337512035651256
234,Ghost Hunters,Platinum,Supporter: New Content,0.2172266703719133
235,Ghost Hunters,Platinum,Tentpole Anchor,0.5968074800993978
236,Ghost Hunters,Silver,Buzz/Prestige/Brand Support,0.008718626155878468
237,Ghost Hunters,Silver,Engagement Anchor,0.03674065759659047
238,Ghost Hunters,Silver,Experimentation,0.07947314484868362
240,Ghost Hunters,Silver,Supporter: Broad Library,0.17508486360476055
241,Ghost Hunters,Silver,Supporter: New Content,0.029087886151472668
242,Nostalgia Comedy Watchers,Bronze,Buzz/Prestige/Brand Support,0.0034149647146875135
243,Nostalgia Comedy Watchers,Bronze,Engagement Anchor,0.030521751227920422
244,Nostalgia Comedy Watchers,Bronze,Experimentation,0.00809706230156252
246,Nostalgia Comedy Watchers,Bronze,News & Sports,0.002322252602371111
247,Nostalgia Comedy Watchers,Bronze,Supporter: Broad Library,0.008026491924061671
248,Nostalgia Comedy Watchers,Bronze,Supporter: New Content,0.009888087620983815
249,Nostalgia Comedy Watchers,Bronze,Supporter: Segment-Specific Library,0.0011994177052905954
250,Nostalgia Comedy Watchers,Gold,Engagement Anchor,0.0606097431276063
251,Nostalgia Comedy Watchers,Gold,Experimentation,0.02713060516678629
252,Nostalgia Comedy Watchers,Gold,Supporter: New Content,0.07388624355860174
253,Nostalgia Comedy Watchers,Gold,Tentpole Anchor,0.043167994719222974
254,Nostalgia Comedy Watchers,Platinum,Engagement Anchor,0.22766418436369273
256,Nostalgia Comedy Watchers,Platinum,Supporter: New Content,0.13003392178325307
257,Nostalgia Comedy Watchers,Platinum,Tentpole Anchor,0.47484047155526715
258,Nostalgia Comedy Watchers,Silver,Buzz/Prestige/Brand Support,0.01032332277017807
259,Nostalgia Comedy Watchers,Silver,Engagement Anchor,0.033427873669030314
260,Nostalgia Comedy Watchers,Silver,Experimentation,0.05582942412367941
262,Nostalgia Comedy Watchers,Silver,Supporter: Broad Library,0.1261599510784374
263,Nostalgia Comedy Watchers,Silver,Supporter: New Content,0.025527531399684063
264,Nostalgia Drama Watchers,Bronze,Buzz/Prestige/Brand Support,0.0023914670338912266
265,Nostalgia Drama Watchers,Bronze,Engagement Anchor,0.02231006043099844
266,Nostalgia Drama Watchers,Bronze,Experimentation,0.006364402131866902
268,Nostalgia Drama Watchers,Bronze,News & Sports,0.0019849065941877657
269,Nostalgia Drama Watchers,Bronze,Supporter: Broad Library,0.00804976222074609
270,Nostalgia Drama Watchers,Bronze,Supporter: New Content,0.008211469988194414
271,Nostalgia Drama Watchers,Bronze,Supporter: Segment-Specific Library,0.0010649530755964631
272,Nostalgia Drama Watchers,Gold,Engagement Anchor,0.06257482661237393
273,Nostalgia Drama Watchers,Gold,Experimentation,0.030947009981829542
274,Nostalgia Drama Watchers,Gold,Supporter: New Content,0.07341003915667163
275,Nostalgia Drama Watchers,Gold,Tentpole Anchor,0.037576054831358056
276,Nostalgia Drama Watchers,Platinum,Engagement Anchor,0.215443769508917
278,Nostalgia Drama Watchers,Platinum,Supporter: New Content,0.14165694017927688
279,Nostalgia Drama Watchers,Platinum,Tentpole Anchor,0.47653932162726526
280,Nostalgia Drama Watchers,Silver,Buzz/Prestige/Brand Support,0.008508340333613345
281,Nostalgia Drama Watchers,Silver,Engagement Anchor,0.026997674940545852
282,Nostalgia Drama Watchers,Silver,Experimentation,0.05138098077332957
284,Nostalgia Drama Watchers,Silver,Supporter: Broad Library,0.10358866103739445
285,Nostalgia Drama Watchers,Silver,Supporter: New Content,0.021390473004884232
286,Nostalgia Millennial Watchers,Bronze,Buzz/Prestige/Brand Support,0.007088789749890391
287,Nostalgia Millennial Watchers,Bronze,Engagement Anchor,0.03379416282642089
288,Nostalgia Millennial Watchers,Bronze,Experimentation,0.016930530516887837
290,Nostalgia Millennial Watchers,Bronze,News & Sports,0.006957100613077448
291,Nostalgia Millennial Watchers,Bronze,Supporter: Broad Library,0.015109562548877858
