,ckg_series_id,season_number,title_name,medal,content_sub_pillar,content_cost
217,0d438dc0-03ca-45ac-a6cf-50527e0a7411,35,Guy's Grocery Games,Bronze,Supporter: Segment-Specific Library,
218,fa5b9ea1-cd7f-42c9-9be9-2a48ece645f5,0,The Iron Claw,Gold,Supporter: New Content,
219,4cbfd96c-1db6-4fe3-aa68-fabe787b025c,0,Run All Night,Bronze,Supporter: Broad Library,1653953.0
220,cc9ce64d-e217-4017-ae41-c6573e53ae09,1,Massacre of the Mormons,Bronze,Supporter: New Content,
221,be3d80e3-7681-43e0-a432-7d339bd0d9e5,1,Navajo Police: Class 57,Bronze,Supporter: New Content,
223,6e91d652-9412-41ef-9ece-b3f33faf53f8,0,Rememory,Bronze,Supporter: Broad Library,150000.0
224,5d3e475d-fe07-4384-8e56-a18958a1603f,0,Mannequin,Bronze,Supporter: Broad Library,230000.0
225,2f56f6ed-0e02-44b1-a335-e17e7c5e6258,0,Head of State,Bronze,Supporter: Broad Library,200000.0
227,96e71aa8-cb83-4f83-8aa6-4079765effa9,0,Free Birds,Bronze,Supporter: Broad Library,260000.0
228,f5550bda-bb16-4f0f-a794-00a8fb9bc674,4,Bob Hearts Abishola,Bronze,Supporter: New Content,13200000.0
229,e14d5b92-f975-4b32-b054-37cdfd36ae64,0,The Golden Child,Bronze,Supporter: Broad Library,325000.0
230,a19b73d5-66a3-48ca-b699-854e2d10bd6b,0,Father Figures,Bronze,Supporter: Broad Library,6599956.226
231,b9d4ad9f-509a-443b-bd15-02cb963fd2cf,0,Jaws in the Shallows,Bronze,Supporter: New Content,
232,89bc0780-2af1-461b-8d3d-5b1fe58bc7a1,0,Kids Halloween Baking Championship,Bronze,NaN,
233,db92f3e1-7a6b-4a23-99a6-ee2aff6584c6,0,Harriet the Spy (1996),Bronze,Supporter: Broad Library,125000.0
234,f5091ced-b6c4-4d3f-8744-847be754fcee,0,The Spy Who Loved Me,Bronze,Supporter: Broad Library,252000.0
235,96cfe7e2-a136-4b74-9870-c7d54a2dc0a3,1,Shaun White: The Last Run,Silver,Supporter: New Content,2921600.0
236,ee4c2eb7-f2ff-43e0-892a-10c1e36d9306,2,Capturing Home,Bronze,Supporter: New Content,
239,63dc1bcb-9dbc-4be1-bcef-a0f79a2063e8,0,Max,Bronze,Supporter: Broad Library,2266128.0
240,129291ab-6554-4d96-ae7a-a31f173e742d,0,Puppy Bowl Presents: 20 Years of Puppies,Bronze,Buzz/Prestige/Brand Support,
241,91ae4caa-dfc0-427c-b745-6e68714e6120,0,Ramona and Beezus,Bronze,Supporter: Broad Library,
242,dff9abce-0c75-482e-8307-1e9837c0f662,27,Worst Cooks in America,Bronze,Supporter: Segment-Specific Library,
243,c88d7058-561a-49e5-b8a0-66d90611398b,0,The Florida Project,Bronze,Supporter: Broad Library,475000.0
244,81e67491-9f5e-40cf-874f-7c03b1091054,0,Ted 2,Bronze,Supporter: Broad Library,3026868.0
245,6917905d-fc4d-4aa6-bfad-8b256392149d,0,Tyler Perry's The Family That Preys,Bronze,Supporter: Broad Library,250000.0
246,a42f0ac9-7799-4691-897d-27bca7c97c28,1,100 Years of Warner Bros.,Bronze,Buzz/Prestige/Brand Support,6800000.0
247,56592450-70ff-4eb0-918b-f00737394d0d,0,Ghostbusters,Bronze,Supporter: Broad Library,749257.7284
248,56592450-70ff-4eb0-918b-f00737394d0d,0,Ghostbusters,Bronze,Supporter: Broad Library,900000.0
249,00f3d5d1-04bc-4757-bce2-458e7e91f597,0,Talladega Nights: The Ballad of Ricky Bobby,Bronze,Supporter: Broad Library,1089829.423
250,cfb33aac-b47a-4cae-a702-269627934413,0,Charlie Wilson's War,Bronze,Supporter: Broad Library,
251,3ea6b5a0-24fa-4b85-94a6-00b9e321f8d0,0,Mystery of the Black Demon Shark,Bronze,NaN,
252,df611caa-3247-4fd6-80b8-1104e826037b,0,I Am Not Your Negro,Bronze,Supporter: Broad Library,60000.0
254,e497824d-1fb6-4fc3-9a81-894daf8db2fc,0,Ghost Adventures: Devil Island,Bronze,Supporter: New Content,
255,34f0efd2-c81e-4a37-9e9a-f9f319ec921d,0,Brigsby Bear,Bronze,Supporter: Broad Library,
