,ckg_series_id,season_number,title_name,content_strategy_category,medal,content_cost
47843,0dbcc0a3-98b3-4382-b91e-81349203d7c2,0,Gemini,Movies (Acq),Bronze,90000.0
48447,0de12893-cb55-4700-a0c3-77330fed617d,0,WarGames,Movies (Acq),Bronze,225000.0
48742,0defa9f3-e6f8-4ddc-b2af-1b17377c137a,0,Great White Double Trouble,Specials,Bronze,
49032,0e7f9b69-34a9-4af6-a038-eb18fd981358,0,I Escaped Jaws,,Bronze,
48438,0ea532b6-24cd-48bd-b07c-9cc35a67712c,0,Cloudy With a Chance of Meatballs,Movies (Acq),Bronze,654306.0
47470,0ec902bf-f8af-4990-8f95-7e72c1634e85,0,Smokin' Aces,Movies (Acq),Bronze,
47953,0edf2eba-60f7-4682-9ace-bf65125cc507,0,Beyond The Reach,Movies (Acq),Bronze,208636.0
48597,0f094d7b-9a3b-466f-9bc3-5bac1bfe0065,0,Shark vs. Snake: Battle of the Bites,Specials,Bronze,
47563,0f0b61f5-aee8-4d0f-84aa-22f4c67bf716,0,Crank: High Voltage,Movies (Acq),Bronze,
49589,0f1b6c81-a19e-4a6a-9257-4f78e6967f89,0,The Cookout,Movies (Acq),Bronze,90000.0
47699,0f58d580-82f0-4209-afd3-9de0fffcc2bb,0,Scream 4,Movies (Acq),Bronze,200000.0
48264,0f5e15f6-252a-4452-898a-c488e4abd5e1,0,Radio,Movies (Acq),Bronze,192000.0
48581,0f7526bf-f8f8-46f9-903a-69a62fdaaa9e,0,Monsters of the Cape,Specials,Bronze,
49233,0f8cdfa4-4bb4-4d57-943e-135bdedc8e6c,0,Die Another Day,Movies (Acq),Bronze,288000.0
48116,0f8d92ed-cbea-49d3-8196-a4bc89675cdf,0,Captain Phillips,Movies (Acq),Bronze,727007.0
49072,0f8eeb51-480d-4772-842b-d39fa693edde,2,Garage Dreams,Unscripted Series (Acq),Bronze,
47599,0f91efa9-deb9-4d82-b260-f6cc8954c004,0,Evil Dead 2: Dead by Dawn,Movies (Acq),Bronze,20000.0
48659,0fa8d081-5d5e-45b8-b44e-46b5d85c01aa,0,Sidney Poitier: One Bright Light,Docu-Movies (Acq),Bronze,
48550,0fd535f6-8da7-439a-a77c-ffcb167dc7f4,0,Sharksanity: The Return,Specials,Bronze,
48045,10225934-8a32-4094-9875-bd3728065a81,0,Crank,Movies (Acq),Bronze,200000.0
47640,10499cee-149d-40da-9af3-05929f01c499,0,Urge,Movies (Acq),Bronze,200000.0
47406,104eacfa-719d-489f-8b41-1882ba4d9be3,2,30 Coins,Drama Series (OP),Bronze,3731899.5
49573,108716ab-ca4a-4af0-9fa7-cc9f478afda0,2,Superchef Grudge Match,Unscripted Series (Acq),Bronze,
49238,108b15fe-62b0-40b3-a521-90ee18515caa,0,Ghost Adventures: Horror at Joe Exotic Zoo,Specials,Bronze,
48463,10950cc0-6352-4221-9dac-a21a1f10e481,0,Shark Storm,Docu-Movies (Acq),Bronze,
49066,10963be2-991b-4d6c-b796-d5bf3ce3ce2e,1,Lazy Car Dealer,Unscripted Series (Acq),Bronze,
47508,10aaf833-056e-46d3-9a6d-a48905a8ede4,1,The Big Swindle,Docu-Movies (Acq),Bronze,
47489,10ae1425-6bbf-4930-a4ce-0b45168f64ce,0,House Party (2023),Movies (Acq),Gold,
49535,10f26206-8768-403d-a873-1363165335cd,0,Extinct or Alive: The Lost Shark,Specials,Bronze,
48700,11177b4b-fffd-410b-8238-3a63fea1c0d4,0,Blue Beetle,Movies (Acq),Platinum,18122018.0
49756,1150041f-8f7a-4692-9947-07670d13a938,5,Super Soul Sunday,Unscripted Series (Acq),Bronze,
49769,1150041f-8f7a-4692-9947-07670d13a938,4,Super Soul Sunday,Unscripted Series (Acq),Bronze,
49800,1150041f-8f7a-4692-9947-07670d13a938,9,Super Soul Sunday,Unscripted Series (Acq),Bronze,
49287,1150041f-8f7a-4692-9947-07670d13a938,2,Super Soul Sunday,Unscripted Series (Acq),Bronze,
49777,1150041f-8f7a-4692-9947-07670d13a938,1,Super Soul Sunday,Unscripted Series (Acq),Bronze,
48540,11a199a1-a5ce-4889-93d9-f294bd39b6c1,0,Bill Bradley: Rolling Along,Docu-Movies (Acq),Bronze,
48397,11a61eb6-2f12-4c3e-9612-03f7706b76e0,0,The Perfect Score,Movies (Acq),Bronze,200000.0
47425,11b43e2b-375b-441a-994e-a55d654c446c,1,The Great Soul Food Cook-Off,Unscripted Series (OP),Bronze,
47397,11b5ec86-3e42-4485-be70-d26b7a9a30fc,1,Jerrod Carmichael Reality Show,Unscripted Series (OP),Silver,1400000.0
47396,11b5ec86-3e42-4485-be70-d26b7a9a30fc,1,Jerrod Carmichael Reality Show,Unscripted Series (OP),Silver,8500000.0
49121,11b91889-909e-4f2b-a8b8-8b6dcd7a6cc6,0,Rogue Tiger Shark: The Hunt for Lagertha,Specials,Bronze,
49685,11caacba-427a-41f4-a2f9-ab76b62ad30f,0,The Cold Light of Day,Movies (Acq),Bronze,75000.0
48392,12147107-1c49-4e37-9191-90015eaae891,4,Save My Skin,Unscripted Series (Acq),Bronze,
47918,121c17e8-a981-4d70-ae14-076841ff41de,0,Elmo and Tango Holiday Helpers,Specials,Bronze,661500.0
48975,1256304d-78db-4fbe-a587-0fc7c5843fa2,0,As Tears Go By,Movies (Acq),Bronze,
48279,1267eae8-c6b7-4309-9974-8ddf8b563e34,1,The Never Ever Mets,Unscripted Series (Acq),Bronze,
47464,126dd5e4-19f8-46ee-bb9b-f00b5fb094d5,0,Fever Pitch,Movies (Acq),Bronze,285000.0
48510,129291ab-6554-4d96-ae7a-a31f173e742d,0,Puppy Bowl Presents: 20 Years of Puppies,Specials,Bronze,
47480,135999f7-ddb8-4b43-bb3a-23fa77da458e,0,Love Affair,Movies (Acq),Bronze,
48983,1363a884-5ee2-4075-8061-b63c05f593c3,4,90 Day Pillow Talk: The Single Life,Unscripted Series (Acq),Bronze,
49523,13858956-7bce-4fcf-90e7-b5743de71427,4,100 Day Dream Home,Unscripted Series (Acq),Bronze,
48493,13adf1d1-c979-4d69-9235-e29cd54648b8,0,Heist,Movies (Acq),Bronze,150000.0
49566,13f2529d-af39-4ed4-93a6-628caef90edd,0,Return to Shark Vortex,Specials,Bronze,
49230,1406a937-31a9-453a-a7c1-f4c7b815ee51,0,"Marcella Arguello: Bitch, Grow Up!",Specials,Bronze,125000.0
47931,14cbb99a-679e-472a-84cb-c6b7604224d6,0,They Died With Their Boots On,Movies (Acq),Bronze,15000.0
49686,15293a63-6575-485f-86ba-757f993711a8,0,Villeneuve Pironi: Racing's Untold Tragedy,Docu-Movies (Acq),Bronze,
48064,15455cad-c1d6-4f6b-82da-fa56697c9bd6,0,Tracy Morgan: Takin’ It Too Far,Specials,Bronze,
48712,156a811b-e47c-40e6-95ea-9eaf69f488e3,0,Jodorowsky's Dune,Docu-Movies (Acq),Bronze,45000.0
48757,158fc4c2-60f2-492b-ada5-aa5bde31c2a3,1,Spacey Unmasked,,Bronze,
48190,15daaf9c-4c5f-44c4-8f7a-99a128e7a096,1,Small Town Potential,Unscripted Series (Acq),Bronze,
48783,15f665b0-ce61-4de1-85be-98c5ed882e6c,0,Mistress America,Movies (Acq),Bronze,188287.0
49203,16020e77-8910-49f3-8eb9-26307e9e1f09,0,SharkCam Strikes Back,Specials,Bronze,
47818,16044ef0-4709-4543-bddc-b09a2ace2e8b,0,Friday the 13th Part VI: Jason Lives,Movies (Acq),Bronze,225000.0
47683,161e82e7-41d9-44a9-a081-958ea6d8d43b,0,Spy,Movies (Acq),Bronze,3531528.0
48125,163fa9d3-af20-4fb4-8918-628ba5725ca3,1,Ninja Kamui,Adult Animation Series (Acq),Bronze,2500000.0
48713,16445516-bc67-4eed-b834-bdd58dbf1cba,0,CNN Special Report: Voices of Auschwitz,Docu-Movies (Acq),Bronze,
49191,1660a4df-0284-4206-b920-3ece3449f6e5,12,See No Evil,Docu-Series (Acq),Bronze,
48759,16769c6d-9fc8-41f2-b079-15293d5a677e,0,The Book of Life,Movies (Acq),Bronze,12215828.25
48802,167f3cc0-7875-4d2c-a190-602173447887,0,You Were My First Boyfriend,Docu-Movies (OP),Bronze,1800000.0
48750,16b643ad-086c-43f1-aaed-d94b7d012013,0,Land Of Gold,Movies (Acq),Bronze,
47539,16ef1c41-6458-4f61-b29d-e44ee76457c6,0,Inside Job,Docu-Movies (Acq),Bronze,45000.0
47540,16ef1c41-6458-4f61-b29d-e44ee76457c6,0,Inside Job,Docu-Movies (Acq),Bronze,92600.0
47674,16f0162f-b7d8-4ff6-ac08-f291425f7cab,0,National Lampoon Christmas Vacation,Movies (Acq),Bronze,
48736,1707c00b-5f78-429e-b265-289bd6efae1f,0,Out of the Furnace,Movies (Acq),Bronze,300000.0
47961,170c0223-7e21-4818-b91a-24ab4a4db4fc,0,Get Carter (1971),Movies (Acq),Bronze,20000.0
49153,1718e40f-e9c8-4de9-a78c-b88ba6285575,0,Stand Up to Cancer,Specials,Bronze,
48335,171e544a-edf3-4b3b-8140-1959a84ce232,0,Tears Of The Sun,Movies (Acq),Bronze,180000.0
48923,171feb23-e04b-4372-b033-4c599e906477,1,Holden Bros. Restos,Unscripted Series (Acq),Bronze,
48693,17551139-0e30-49a5-9e14-245e532b963d,0,The Mod Squad,Movies (Acq),Bronze,225000.0
47506,175d821c-276e-4b5f-9cfd-b2f89db35631,0,The Revenant,Movies (Acq),Bronze,4000000.0
48529,1791aafa-5f63-4ed5-8afc-eb75fc1b4138,0,Wes Craven Presents Dracula 2000,Movies (Acq),Bronze,
48420,179bdb1c-83f8-4ab7-87ef-47ce3b566a13,4,Barry,Comedy Series (OP),Gold,65900000.0
48202,17b08e74-685e-4bde-be01-9127d04040f0,2,Lil Jon Wants to Do What?,Unscripted Series (Acq),Bronze,
49308,17c59d03-77db-40fc-b0e4-878a45d9678e,1,Steve Magnante's Super Models,Unscripted Series (Acq),Bronze,
49807,17cff53f-3151-4414-be19-4409e7d57f43,2,Motor Trend TV,Unscripted Series (Acq),Bronze,
49518,17cff53f-3151-4414-be19-4409e7d57f43,1,Motor Trend TV,Unscripted Series (Acq),Bronze,
