,ckg_series_id,season_number,title_name,content_strategy_category,medal,content_cost
48881,c224363d-6129-458b-9819-cf782bb9f4ef,1,Naked.Loud.Proud.,Docu-Series (OP),Bronze,12391.2
48278,c24847d8-f5fe-4692-9ccf-ceaca55d1623,0,Ghostbusters II,Movies (Acq),Bronze,749257.7284
47536,c263444a-23f8-4646-bf2d-2b8cb9b2b0d5,0,The Matthew Shepard Story: An American Hate Crime,Docu-Movies (Acq),Bronze,
48858,c273562b-eae4-4357-a8f4-9c007f2a8aac,0,Great White Abyss,Specials,Bronze,
48075,c27c601f-4cb9-48b6-9f8c-758cccf27125,0,Basic,Movies (Acq),Bronze,261722.0
47840,c2d5ba4b-f0fc-4ccc-acbd-2678d178b167,0,Confessions of a Nazi Spy,Movies (Acq),Bronze,10000.0
47955,c2dd6368-0578-4fd4-a799-4046a5313dc6,0,The Yorkshire Exorcist,Specials,Bronze,
48208,c3205f21-ada8-4143-801f-e0cdfe85fbff,1,Selena + Chef: Home for the Holidays,Unscripted Series (Acq),Bronze,
47707,c33f1b58-575e-41fe-9434-5c81a248a746,29,Real Sports with Bryant Gumbel,Unscripted Series (OP),Bronze,12300000.0
47557,c34d4c23-39eb-4eb8-95dd-209fa0cb3fb4,0,Wonka,Movies (Acq),Platinum,39000000.0
47834,c35ed33d-e64a-474f-a7c8-f63e8d7e971d,0,Teenage Mutant Ninja Turtles 3,Movies (Acq),Bronze,387500.0
47673,c392c149-67c7-403d-b08b-696f95c49ffb,1,The Garden: Commune or Cult,Unscripted Series (Acq),Bronze,
48592,c3bd0a34-c4ce-4ca5-bd6c-820df7340671,3,The Righteous Gemstones,Comedy Series (OP),Gold,95700000.0
49366,c3c26dcc-f307-4349-9043-c5932ec4d950,0,Precious Cargo,Movies (Acq),Bronze,200000.0
49606,c40d657e-0f2b-4709-8f8c-a21709550657,1,Ultimate Car Build-Off,Unscripted Series (Acq),Bronze,
48755,c42a5ab6-6627-45bb-b1b4-90bf9514040f,1,Burden of Proof,Docu-Series (OP),Bronze,2200000.0
48360,c435690b-3c6e-43df-bc7b-6fe9f84d023e,0,Eat Pray Love,Movies (Acq),Bronze,128865.2743
48925,c4492a47-006e-49db-825a-be14f93fcee6,2,Texas Metal's Loud and Lifted,Unscripted Series (Acq),Bronze,
49527,c4492a47-006e-49db-825a-be14f93fcee6,1,Texas Metal's Loud and Lifted,Unscripted Series (Acq),Bronze,
48589,c49f8c33-090e-4ac6-9f29-ea6bef4ab3f9,0,Chasing Greatness: Coach K x LeBron,Docu-Movies (Acq),Bronze,
47786,c4a85758-b21b-4223-bf35-4e7a826a0a05,0,Dumb and Dumber To,Movies (Acq),Bronze,3080640.0
48857,c4cd7c3c-d075-4b26-a760-85187509538e,0,Sharkadelic Summer,Specials,Bronze,
49133,c4cf1a44-8785-41d7-91f1-818236d5b386,0,Niaye,Movies (Acq),Bronze,
47647,c5045e2d-12ff-4874-96bf-3d8a6edb304b,0,Craig Before the Creek,Movies (Acq),Bronze,
48272,c5819ef9-10b5-41f9-b7c2-7183d3c057fd,0,Date and Switch,Movies (Acq),Bronze,200000.0
49207,c5ec2810-47ee-4999-b2a2-eff27886dd42,6,Paranormal Caught on Camera,Unscripted Series (Acq),Bronze,
47629,c61b50b3-bbe2-42b3-8425-4fbd5a80e011,0,De-Lovely,Movies (Acq),Bronze,270000.0
49457,c63e2d43-8a09-4b80-bece-6f1b3241f032,2,BBQ USA,Unscripted Series (Acq),Bronze,
48938,c6418523-e626-4c40-acce-fae367f1f272,0,Sharkbite Beach,,Bronze,
49663,c659b339-df03-4405-ba48-98a3e10921b8,1,Well Designed,Unscripted Series (Acq),Bronze,
48220,c6a45e0c-358b-4bee-98a5-f0500ca52daf,1,Battle on the Mountain,Unscripted Series (Acq),Bronze,
48473,c706d141-342d-4fe5-8d60-638e42a908fa,5,Craig of the Creek,Kids Series (Acq),Bronze,3345490.0
47943,c7372527-c271-45f4-b4c8-85a75960cef6,1,HOP,Unscripted Series (OP),Bronze,6500000.0
48000,c73773d8-28de-4c3b-a408-62728df45996,0,Christmas of Yes,Movies (Acq),Bronze,
47547,c74953f4-4c00-473d-8e7a-128d48e22123,2,The Ghost Town Terror,Unscripted Series (Acq),Bronze,
49729,c74e2028-3daf-4560-ba49-d55e4539ce36,2,Overhaulin',Unscripted Series (Acq),Bronze,
49131,c74e2028-3daf-4560-ba49-d55e4539ce36,6,Overhaulin',Unscripted Series (Acq),Bronze,
49728,c74e2028-3daf-4560-ba49-d55e4539ce36,8,Overhaulin',Unscripted Series (Acq),Bronze,
48753,c74e2028-3daf-4560-ba49-d55e4539ce36,7,Overhaulin',Unscripted Series (Acq),Bronze,
49496,c74e2028-3daf-4560-ba49-d55e4539ce36,5,Overhaulin',Unscripted Series (Acq),Bronze,
48085,c74e2028-3daf-4560-ba49-d55e4539ce36,3,Overhaulin',Unscripted Series (Acq),Bronze,
49633,c74e2028-3daf-4560-ba49-d55e4539ce36,4,Overhaulin',Unscripted Series (Acq),Bronze,
48660,c74e2028-3daf-4560-ba49-d55e4539ce36,10,Overhaulin',Unscripted Series (Acq),Bronze,
49599,c74e2028-3daf-4560-ba49-d55e4539ce36,1,Overhaulin',Unscripted Series (Acq),Bronze,
49326,c74e2028-3daf-4560-ba49-d55e4539ce36,9,Overhaulin',Unscripted Series (Acq),Bronze,
48408,c765fc85-416f-49de-a66e-7efd90cc3faa,0,The Grey,Movies (Acq),Bronze,175000.0
47519,c77dc264-54a9-462d-9a75-4c8fdcc6f6b6,0,Oracle,Movies (Acq),Bronze,
47551,c835f746-a4dd-4ca6-98db-d69282bddcbc,0,The Host (2007),Movies (Acq),Bronze,
49732,c83835f3-768f-4494-8efb-c6c88ec9957a,3,Louisiana Law,Unscripted Series (Acq),Bronze,
47772,c83c97e1-4d12-48c3-8816-224fa2986464,0,Monster Mako: Fresh Blood,Specials,Bronze,
49537,c85c5ecc-d6fa-45f2-ab5e-7bd1118ec845,0,Sarah's Key,Movies (Acq),Bronze,100000.0
49137,c8639368-46fc-4073-824b-e8caecc5237c,8,Head 2 Head,Unscripted Series (Acq),Bronze,
49253,c8639368-46fc-4073-824b-e8caecc5237c,10,Head 2 Head,Unscripted Series (Acq),Bronze,
49068,c8639368-46fc-4073-824b-e8caecc5237c,3,Head 2 Head,Unscripted Series (Acq),Bronze,
49083,c8639368-46fc-4073-824b-e8caecc5237c,6,Head 2 Head,Unscripted Series (Acq),Bronze,
49380,c8639368-46fc-4073-824b-e8caecc5237c,7,Head 2 Head,Unscripted Series (Acq),Bronze,
49111,c8639368-46fc-4073-824b-e8caecc5237c,9,Head 2 Head,Unscripted Series (Acq),Bronze,
49790,c8639368-46fc-4073-824b-e8caecc5237c,5,Head 2 Head,Unscripted Series (Acq),Bronze,
49340,c8639368-46fc-4073-824b-e8caecc5237c,2,Head 2 Head,Unscripted Series (Acq),Bronze,
49597,c8639368-46fc-4073-824b-e8caecc5237c,4,Head 2 Head,Unscripted Series (Acq),Bronze,
47760,c86fa040-2491-479c-9ab4-462afce6832f,3,Jellystone!,Kids Series (OP),Bronze,2250000.0
49222,c88d7058-561a-49e5-b8a0-66d90611398b,0,The Florida Project,Movies (Acq),Bronze,475000.0
47973,c8b31cea-e93e-4adb-8dd7-c625d9ec16fb,0,Tommy Boy,Movies (Acq),Bronze,200000.0
49229,c8b503c5-8082-4dda-9a6f-783328446f03,0,What Happened to Valentino Dixon?,Docu-Movies (Acq),Bronze,
49232,c8fb6da3-700d-4476-908f-5d497cd73e49,0,Anna and the King,Movies (Acq),Bronze,230000.0
48649,c9318b8e-ece9-4d68-ac8e-0de848012aa9,0,Wild Rose,Movies (Acq),Bronze,216450.0
48691,c95b000f-1b00-40fe-a272-6a2037005f40,15,The Dead Files,Unscripted Series (Acq),Bronze,
49328,c971df9b-54c8-44f9-a975-05b6ceb66255,1,Custom Carolina,Unscripted Series (Acq),Bronze,
49575,c9880237-23cc-4388-b856-1ecb59853e89,3,Lellobee City Farm,Kids Series (Acq),Bronze,
47920,c9999e42-f214-407e-807d-43dcf101301d,0,Khun Pan 3,Movies (OP),Bronze,237500.0
49682,c9ceba54-0aed-4f0b-8491-4698edfab8cb,0,Shark Week's Impossible Shot,Specials,Bronze,
49099,c9d17bba-f8e3-4833-94ed-ef07e426e1f0,3,Beach Cottage Chronicles,Unscripted Series (Acq),Bronze,
48940,c9d17bba-f8e3-4833-94ed-ef07e426e1f0,2,Beach Cottage Chronicles,Unscripted Series (Acq),Bronze,
48285,c9f9a98e-ba5d-44f8-a39c-b3dae8269c79,0,The Bling Ring,Movies (Acq),Bronze,475000.0
47675,ca01f963-90fe-4028-9d3c-deb127d48f34,1,Let Us Prey: A Ministry of Scandals,Docu-Series (Acq),Bronze,
49543,ca079991-8ea0-47e0-becb-072fad7b7e48,1,Wheeler Dealers From the Vault,Unscripted Series (Acq),Bronze,
49016,ca12263f-0d27-46e9-8045-7e3e436d5d43,0,Marilyn Monroe: Still Life,Docu-Movies (Acq),Bronze,
48884,ca436060-3cad-4a91-bbd8-bf68a20acf95,0,Eastern Promises,Movies (Acq),Bronze,
48845,ca48b672-9876-4adc-bd69-ea2802f9dd1c,8,Roadkill,Unscripted Series (Acq),Bronze,
49471,ca48b672-9876-4adc-bd69-ea2802f9dd1c,4,Roadkill,Unscripted Series (Acq),Bronze,
47543,ca48b672-9876-4adc-bd69-ea2802f9dd1c,2,Roadkill,Unscripted Series (Acq),Bronze,
48478,ca48b672-9876-4adc-bd69-ea2802f9dd1c,7,Roadkill,Unscripted Series (Acq),Bronze,
47730,ca48b672-9876-4adc-bd69-ea2802f9dd1c,1,Roadkill,Unscripted Series (Acq),Bronze,
48822,ca48b672-9876-4adc-bd69-ea2802f9dd1c,3,Roadkill,Unscripted Series (Acq),Bronze,
47477,ca48b672-9876-4adc-bd69-ea2802f9dd1c,13,Roadkill,Unscripted Series (Acq),Bronze,
49468,ca48b672-9876-4adc-bd69-ea2802f9dd1c,11,Roadkill,Unscripted Series (Acq),Bronze,
49123,ca48b672-9876-4adc-bd69-ea2802f9dd1c,12,Roadkill,Unscripted Series (Acq),Bronze,
48926,ca48b672-9876-4adc-bd69-ea2802f9dd1c,9,Roadkill,Unscripted Series (Acq),Bronze,
48886,ca48b672-9876-4adc-bd69-ea2802f9dd1c,10,Roadkill,Unscripted Series (Acq),Bronze,
49187,ca48b672-9876-4adc-bd69-ea2802f9dd1c,5,Roadkill,Unscripted Series (Acq),Bronze,
48640,ca48b672-9876-4adc-bd69-ea2802f9dd1c,6,Roadkill,Unscripted Series (Acq),Bronze,
49761,ca631a9b-dae5-4eed-9623-431c0525a634,3,Top Truck Challenge,Unscripted Series (Acq),Bronze,
48658,ca631a9b-dae5-4eed-9623-431c0525a634,1,Top Truck Challenge,Unscripted Series (Acq),Bronze,
49334,ca631a9b-dae5-4eed-9623-431c0525a634,2,Top Truck Challenge,Unscripted Series (Acq),Bronze,
47582,ca905418-1032-4ee5-a66d-dfb3e2f000da,0,Lakeview Terrace (Movie),Movies (Acq),Bronze,
47862,cabb1d8d-458f-47d6-b29f-14f5e57e86e4,6,Full Custom Garage,Unscripted Series (Acq),Bronze,
49541,cabb1d8d-458f-47d6-b29f-14f5e57e86e4,9,Full Custom Garage,Unscripted Series (Acq),Bronze,
49273,cabb1d8d-458f-47d6-b29f-14f5e57e86e4,8,Full Custom Garage,Unscripted Series (Acq),Bronze,
49454,cabb1d8d-458f-47d6-b29f-14f5e57e86e4,7,Full Custom Garage,Unscripted Series (Acq),Bronze,
49255,cabb1d8d-458f-47d6-b29f-14f5e57e86e4,5,Full Custom Garage,Unscripted Series (Acq),Bronze,
48657,cabba35d-45d3-41d1-950d-3411994444f5,0,Justice League X RWBY: Super Heroes & Huntsmen Part 2,Movies (Acq),Bronze,495000.0
48435,catalunya_motogp_.,0,CATALUNYA: Motogp (.),,Bronze,
48891,cb455c8a-bfea-42b9-976e-d15aeb08980f,0,Marley & Me,Movies (Acq),Bronze,
48399,cb5e2c6f-5408-4056-84b6-b052ed474baf,0,The Christmas Detective,Movies (Acq),Bronze,
48479,cb7cf6fd-0b20-427a-b14a-a294032bd97e,0,Poltergeist,Movies (Acq),Bronze,
48960,cb9664e1-276a-4009-8ff2-a698d0d018be,1,United States of Scandal with Jake Tapper,Docu-Series (Acq),Bronze,
47501,cbb842a5-1571-4bc6-848c-ad1ac8e9556a,33,Beat Bobby Flay,Unscripted Series (Acq),Bronze,
47821,cbb842a5-1571-4bc6-848c-ad1ac8e9556a,34,Beat Bobby Flay,Unscripted Series (Acq),Bronze,
48673,cbd020b8-d01f-45b7-9267-05c5847c106a,0,Coup de Torchon,Movies (Acq),Bronze,
48867,cbdb2873-1e65-480f-bc77-e1a21570b511,1,OWN Spotlight,Docu-Series (Acq),Bronze,
48823,cbf81460-b77d-4313-9044-7165bb1028ea,1,Mission Unexplained,Unscripted Series (Acq),Bronze,
48980,cc299e87-da93-4968-8126-4e8813ba5fdd,0,Deadliest Sharks,Specials,Bronze,
48023,cc485a30-b9ee-463c-93f7-af3717ae9f0d,0,Predators,Movies (Acq),Bronze,
49592,cc8fde2e-0bc9-4062-9282-d0157fd18c78,0,Tiger Shark King,Specials,Bronze,
48270,cc9ce64d-e217-4017-ae41-c6573e53ae09,1,Massacre of the Mormons,Docu-Series (OP),Bronze,
48357,cca33af2-bc79-40d5-be87-c0bfe45a89ef,0,The Wife,Movies (Acq),Bronze,92600.0
47621,ccb78920-ce1b-4dfe-9fb1-500c27c339d8,2,Ten Year Old Tom,Adult Animation Series (OP),Bronze,11799150.0
47830,ccbc49ee-1c8c-4e94-bf4a-fad53aa8c7e1,0,No Way Out,Movies (Acq),Bronze,311500.0
48697,ccd692b0-2212-4713-8478-791193c30ad8,0,Strange Days,Movies (Acq),Bronze,230000.0
47928,cce6a29f-5333-449d-abc2-8b00948829bb,0,Planet 51,Movies (Acq),Bronze,30068.564
48009,ccf82eca-dc33-4a91-8083-53cf1c57ffa8,0,Dark Blue,Movies (Acq),Bronze,178000.0
48476,ccfca000-5ba3-461a-9318-0839b87fe793,1,24 in 24: Last Chef Standing,Unscripted Series (Acq),Bronze,
48988,cd02e5b4-c6e5-4884-a57d-a4347979d7bb,0,Paper Towns,Movies (Acq),Bronze,9259415.063
47780,cd1ace38-7143-48c6-822b-478e6b46d82f,1,Interview With the Vampire,Drama Series (Acq),Bronze,187500.0
48290,cd30d3fc-0f31-44e4-82de-c262fd47710b,0,Florida Shark: Blood in the Water,Specials,Bronze,
49737,cd404d60-515f-405a-b143-7be356c16ac8,0,How We Get Free,Docu-Movies (OP),Bronze,400000.0
48065,cdb042bb-5bd7-4b82-8cf3-8b805241c0b6,5,Seeking Sister Wife,Unscripted Series (Acq),Bronze,
49570,cdc15b42-cf8f-4136-a11c-c6554ec96099,3,Roadkill's Junkyard Gold,Unscripted Series (Acq),Bronze,
49063,cdc15b42-cf8f-4136-a11c-c6554ec96099,1,Roadkill's Junkyard Gold,Unscripted Series (Acq),Bronze,
49472,cdc15b42-cf8f-4136-a11c-c6554ec96099,2,Roadkill's Junkyard Gold,Unscripted Series (Acq),Bronze,
47651,cdfe08aa-cead-4ced-be3f-77a919bb23a0,0,Cujo,Movies (Acq),Bronze,250000.0
48174,ce186bcb-540a-40b8-b7d7-21837dc480d7,0,Another Me,Movies (Acq),Bronze,30998.0
48157,ce47da35-45a8-44d5-b282-9b752ab566d2,0,Spawn of Jaws: The Birth,Specials,Bronze,
49013,ce496567-7fee-4921-9e65-535c374e4b52,2017,Forbidden Drives,Unscripted Series (Acq),Bronze,
48965,ce641045-ff68-4974-8c36-66693f7fafce,0,I Was Prey: Shark Week 2,Specials,Bronze,
47993,ce6d5c66-f385-42f8-9df1-2aa7b38b4d46,0,Clear and Present Danger,Movies (Acq),Bronze,300000.0
47659,ce9b1895-df19-4d78-a3c9-0fde77b96af0,0,The Mean Season,Movies (Acq),Bronze,216000.0
48207,ce9bbab7-b7b6-4388-9b18-e98a86abbba7,0,A Hologram For The King,Movies (Acq),Bronze,273864.0
48018,cec38ffa-bcaa-45a9-8a47-6425364ecbed,0,Paranormal Activity 4,Movies (Acq),Bronze,285000.0
49495,cef2fc60-1fe9-4af7-89ad-3cc13547ce1d,0,Searching For Sugar Man,Docu-Movies (Acq),Bronze,92600.0
49612,cf2d70d6-aee8-452b-9149-6650cb6927a3,0,"Rachel, Rachel",Movies (Acq),Bronze,5000.0
48309,cf3f9348-bb37-4eb1-a451-c226a26b2cda,0,Jaws vs The Blob,Specials,Bronze,
48231,cf514bb5-ddf6-4574-a417-efb57188584b,0,Because I Said So,Movies (Acq),Bronze,
49695,cf8f8750-78f5-4cb8-9428-ae3e5b48e598,2,Rap Battlefield,Drama Series (OP),Bronze,711026.1
49531,cfac6b8e-e504-4d8c-bcdf-d0328cca9cce,0,Person to Person,Movies (Acq),Bronze,60000.0
48801,cfad0209-ac6d-46d5-ba24-0e6ca22ced30,2,Velma,Adult Animation Series (OP),Silver,17905500.0
48323,cfad0209-ac6d-46d5-ba24-0e6ca22ced30,1,Velma,Adult Animation Series (OP),Silver,14913000.0
48642,cfb33aac-b47a-4cae-a702-269627934413,0,Charlie Wilson's War,Movies (Acq),Bronze,
47999,cfead8d6-4fc4-4142-bedd-ea4bf631378d,13,Halloween Wars,Unscripted Series (Acq),Bronze,
47851,d0055972-2ffe-4c20-ab77-ff6042cfc682,0,Edward Scissorhands,Movies (Acq),Bronze,270000.0
47759,d07e36f5-7959-4497-b581-a86271c70d4f,0,Outrage,Docu-Movies (Acq),Bronze,60000.0
47439,d0c29900-5324-4750-ace7-14e6b5f51b85,0,Fifty Shades Of Grey,Movies (Acq),Bronze,3600000.0
47860,d0ce52ef-ceee-43d6-b0bf-186777511a56,0,A Christmas Stray,Movies (Acq),Bronze,
48315,d0fad83b-123c-4859-b281-f20306fefa08,0,Crocodile Dundee in Los Angeles,Movies (Acq),Bronze,250000.0
48474,d0fe7189-a54a-45ee-904b-ca9c83d853d1,1,Naked Attraction: Naughtiest Bits,Unscripted Series (Acq),Bronze,
48781,d1152395-3619-4a26-889a-f43191012e73,0,Now You See Me 2,Movies (Acq),Bronze,3082079.0
49015,d15e22d8-dd99-42b6-9cf3-04316104fb2e,4,Windy City Rehab,Unscripted Series (Acq),Bronze,
48699,d1b1c590-584b-441e-9bcb-87472d178818,0,Return of Jaws,Specials,Bronze,
47891,d1cc16e2-cbf0-4ce8-90fd-d7ca8c1209a5,0,Air Jaws: Ultimate Breach Off,Specials,Bronze,
49236,d20974a3-86ca-41b2-90a9-1d33197b82ad,0,Mannequin Two: On the Move,Movies (Acq),Bronze,216000.0
48203,d22406f6-ab51-4289-bf44-c8661802eb95,0,Love in the Time of Cholera,Movies (Acq),Bronze,
49046,d2ae2b60-4a8e-42bf-bb21-8340ad6a7210,0,Island of the Walking Sharks,Specials,Bronze,
49545,d2b28e16-b6ec-4eaa-9b7a-ecb95898ed0d,0,The Real Sharknado,Specials,Bronze,
47527,d2e39a8f-07c5-4880-99dc-f16703f9a993,1,Haunted Ireland,Unscripted Series (Acq),Bronze,
47777,d354cbf5-7340-4aaf-881f-50c8c11eb680,0,American Hustle,Movies (Acq),Bronze,214775.4571
48721,d3f1f06c-7689-43a9-9674-2ca925517619,0,Octopussy,Movies (Acq),Bronze,252000.0
47831,d4100dbb-5da9-4b13-932c-20600f826cd6,0,A Tale of Summer,Movies (Acq),Bronze,
49249,d44236a4-2fb6-4a61-ba8f-da5f39a5335f,0,Shoplifters,Movies (Acq),Bronze,60000.0
48687,d46b1c77-8f76-4b0e-b639-3fbe9af868e9,0,Voodoo Sharks,Specials,Bronze,
48557,d480d78a-b190-4fe9-a402-b57bd54a876b,5,Fixer to Fabulous,Unscripted Series (Acq),Bronze,
49098,d4973772-ddb5-4c83-8b1d-32fb68a71e18,0,The Unknown (1927),Movies (Acq),Bronze,
48851,d499c712-fcac-44bb-91ce-4f2e710fddd3,1,Windy City Rehab: Alison's Dream Home,Unscripted Series (Acq),Bronze,
48191,d4ac3da2-7fcf-4666-abc4-aff12a23ee54,0,Patriot Games,Movies (Acq),Bronze,300000.0
49211,d4d83d72-9488-4b9d-a8fd-8ce6e310453d,0,Sharks and the City: New York,,Bronze,
47879,d53d9dde-8b57-4651-b3bc-e8fee4b83451,0,Fantastic Mr. Fox,Movies (Acq),Bronze,270000.0
47451,d53fd394-3488-4809-93ae-2cefda59c740,1,Chef Dynasty: House of Fang,Unscripted Series (Acq),Bronze,
48954,d58bbf80-412b-4ec4-a280-8c130ee20eee,0,Demonlover,Movies (Acq),Bronze,
48153,d5e3be11-eb8b-449f-89cf-db887ddee777,0,Parasite,Movies (Acq),Bronze,2005799.0
49576,d5f3fc41-c1ca-4636-a4db-bc2b710a5362,0,Bear vs. Shark,Docu-Movies (Acq),Bronze,
48491,d6367f88-c0bc-4acf-a836-70f0250b434e,4,Unsellable Houses,Unscripted Series (Acq),Bronze,
49665,d63b546c-2816-415c-a83f-16e7c45c12eb,0,Windtalkers,Movies (Acq),Bronze,252000.0
48797,d649a5ab-c791-4e3e-b2c9-29074312032a,1,Buying Back The Block,Unscripted Series (Acq),Bronze,
47624,d664b4ce-baf9-4e53-a31b-e8549c9f1494,0,Tyler Perry’s Meet the Browns,Movies (Acq),Bronze,
48689,d68d2d18-8478-4a53-bcb3-702d79d15c1a,0,Restless,Movies (Acq),Bronze,92600.0
48043,d68fb96b-561d-45d9-b9e3-e6e9a7ae060b,1,Renovation Aloha,Unscripted Series (Acq),Bronze,
47600,d6c7febe-e870-4f64-96cc-1919f3a01988,1,Downey's Dream Cars,Unscripted Series (OP),Silver,5936130.0
48238,d6d0126b-ed87-4e2e-877a-0a2e4ef7887c,0,Children of the Corn II: The Final Sacrifice,Movies (Acq),Bronze,81000.0
48524,d71ad8c5-d847-4dd3-838c-842ad84fa53e,0,The Green Knight,Movies (Acq),Bronze,200000.0
47622,d73b7037-4155-40bc-8db5-74fb42bebb3a,1,Tiny Toons Looniversity,Kids Series (Acq),Bronze,6474720.0
47502,d73b7037-4155-40bc-8db5-74fb42bebb3a,2,Tiny Toons Looniversity,Kids Series (Acq),Bronze,6029100.0
48143,d76e8b60-e0f9-478a-9dd0-31b0b23350c9,0,"Love To Love You, Donna Summer",Docu-Movies (OP),Bronze,6100000.0
47677,d7cbfe38-7576-4955-acd0-81e5ff5d66d4,0,The Crazies,Movies (Acq),Bronze,250000.0
48943,d7d1ae93-d9aa-400e-b5ef-7de4e0fcbf6f,0,Blame It on Rio,Movies (Acq),Bronze,208000.0
48784,d7dd3d36-2c3e-4164-ac27-b5e8ec1f807d,0,Pig vs. Shark,Specials,Bronze,
48294,d7f8e9ae-ed30-447e-991b-337d321043e0,4,Put A Ring On It,Unscripted Series (Acq),Bronze,
48609,d84d835a-da01-411c-a193-992f4659d003,11,My Big Fat Fabulous Life,Unscripted Series (Acq),Bronze,
48871,d855feb4-3356-4acd-9988-11b55a1793c4,3,The Family Chantel: Pillow Talk,,Bronze,
49630,d855feb4-3356-4acd-9988-11b55a1793c4,2,The Family Chantel: Pillow Talk,,Bronze,
49476,d863c052-f4a9-4d59-a3ee-1df9b1dfcb90,0,Gloria Bell,Movies (Acq),Bronze,600000.0
47995,d8971a4f-7353-488a-9740-3f0d89057081,0,Hereditary,Movies (Acq),Bronze,1725000.0
48536,d8c0de87-f202-4923-88a4-d98a3bae74b5,0,Don't Play Us Cheap,Movies (Acq),Bronze,
48199,d8d07ff3-56a2-42f0-9182-f1e2eb40f0bd,0,Storm Warning,Movies (Acq),Bronze,
47398,d8da0110-568f-4ab2-94fd-fd72c705c44f,2,The Curious Case of Natalia Grace,Docu-Series (Acq),Bronze,
48520,d8da0110-568f-4ab2-94fd-fd72c705c44f,1,The Curious Case of Natalia Grace,Docu-Series (Acq),Bronze,
48505,d8dd1013-a4de-4f7a-b5c6-3380714ef1cf,3,No Demo Reno,Unscripted Series (Acq),Bronze,
47513,d8f1a995-7107-41ea-8e57-27d51d9b6d9d,2,Pets & Pickers,Unscripted Series (Acq),Bronze,
47952,d92ee453-79db-45ce-bc41-0f08fe4ab344,0,The Dreamers,Movies (Acq),Bronze,230000.0
48929,d9350fef-e39c-493e-956f-7abdd404da79,0,From Here to Eternity,Movies (Acq),Bronze,51546.1097
48595,d953ea91-212d-4a9e-8b89-ad3fc6b4d336,3,My Strange Addiction,Unscripted Series (Acq),Bronze,
48961,d953ea91-212d-4a9e-8b89-ad3fc6b4d336,2,My Strange Addiction,Unscripted Series (Acq),Bronze,
47507,d953ea91-212d-4a9e-8b89-ad3fc6b4d336,1,My Strange Addiction,Unscripted Series (Acq),Bronze,
48766,d953ea91-212d-4a9e-8b89-ad3fc6b4d336,4,My Strange Addiction,Unscripted Series (Acq),Bronze,
48150,d953ea91-212d-4a9e-8b89-ad3fc6b4d336,6,My Strange Addiction,Unscripted Series (Acq),Bronze,
48636,d953ea91-212d-4a9e-8b89-ad3fc6b4d336,5,My Strange Addiction,Unscripted Series (Acq),Bronze,
47758,d95ac721-abc2-4f2b-b557-ae36adf7623c,0,Where The Boys Are (1960),Movies (Acq),Bronze,15000.0
47987,d9795a38-ece3-41f7-b0a1-5adde3351a53,0,20th Century Women,Movies (Acq),Bronze,475000.0
48800,d97e92c2-9294-4835-b494-1fc86d0cee50,0,Joe Dirt,Movies (Acq),Bronze,46468.78981
49398,d9930c7a-019e-4c8e-a6f4-b38d9147d202,6,Ignition,Unscripted Series (Acq),Bronze,
49109,d9930c7a-019e-4c8e-a6f4-b38d9147d202,14,Ignition,Unscripted Series (Acq),Bronze,
49379,d9930c7a-019e-4c8e-a6f4-b38d9147d202,10,Ignition,Unscripted Series (Acq),Bronze,
49376,d9930c7a-019e-4c8e-a6f4-b38d9147d202,13,Ignition,Unscripted Series (Acq),Bronze,
49339,d9930c7a-019e-4c8e-a6f4-b38d9147d202,11,Ignition,Unscripted Series (Acq),Bronze,
49797,d9930c7a-019e-4c8e-a6f4-b38d9147d202,15,Ignition,Unscripted Series (Acq),Bronze,
49335,d9930c7a-019e-4c8e-a6f4-b38d9147d202,12,Ignition,Unscripted Series (Acq),Bronze,
49047,da0ecde9-baa0-4783-bf6c-7b53d97467db,2023,Mecum Auto Auctions,Unscripted Series (Acq),Bronze,
48807,da0ecde9-baa0-4783-bf6c-7b53d97467db,2024,Mecum Auto Auctions,Unscripted Series (Acq),Bronze,
48417,da0ecde9-baa0-4783-bf6c-7b53d97467db,2022,Mecum Auto Auctions,Unscripted Series (Acq),Bronze,
47942,da36cb5e-3528-4354-a31c-c84610de672b,3,Warrior,Drama Series (OP),Silver,57900000.0
48754,da3da180-7e90-4dd7-b6c3-22e120d94c0d,10,90 Day Fiance: Pillow Talk,Unscripted Series (Acq),Bronze,
49247,da47b511-9097-48cc-a686-3b24f5471c86,0,We Are The Best!,Movies (Acq),Bronze,60000.0
48661,da4e38a0-72ed-45ad-a1e1-f5f25ee862a7,0,Dreamer: Inspired By A True Story,Movies (Acq),Bronze,125000.0
48774,da788099-5425-4e6c-a62d-c219f4681d33,0,For All Humankind,Docu-Movies (Acq),Bronze,
47705,da918675-9340-4d56-aaa0-07a0ab91f3b8,2,Teenage Euthanasia,Adult Animation Series (Acq),Bronze,2837500.0
48675,da9383c4-a0a0-418a-a133-e8425b89080d,1,Time of Essence,Docu-Series (Acq),Bronze,
47616,dabad2cf-b880-4456-afc0-c3bc5fba993b,0,Cruising,Movies (Acq),Bronze,140000.0
47538,dad979fb-c4c6-4cc5-9a03-7f85717d5d8f,0,Click,Movies (Acq),Bronze,1254657.3251
49278,daef1d47-468f-4850-93a8-931efbbcff1a,0,School Life,Docu-Movies (Acq),Bronze,60000.0
